FL_Round,Epoch,Node_ID,Accuracy,Loss,Validation_Accuracy,Validation_Loss,FP,TP,FN,TN,Gradient_Norm,Epoch_Time,Aggregation_Time,FL_Round_Time,Convergence_Time
1,1,0,0.7898756265640259,,0.7897241711616516,0.5152032971382141,0,240,20410,76413,2227.6597,7.746496200561523,1.1920928955078125e-05,0.0,86.45850396156311
1,2,0,0.7899503111839294,0.5138916373252869,0.7897241711616516,0.5137563943862915,0,240,20410,76413,290.00348,8.525126934051514,9.775161743164062e-06,0.0,86.45850396156311
1,3,0,0.7899503111839294,0.5135268568992615,0.7897241711616516,0.5137323141098022,0,240,20410,76413,50.958366,7.951245069503784,9.059906005859375e-06,0.0,86.45850396156311
1,4,0,0.7899503111839294,0.5135276913642883,0.7897241711616516,0.5137320756912231,0,240,20410,76413,27.978426,7.753046989440918,1.52587890625e-05,0.0,86.45850396156311
1,5,0,0.7899503111839294,0.5135311484336853,0.7897241711616516,0.5137315988540649,0,240,20410,76413,69.091545,7.816402912139893,9.775161743164062e-06,0.0,86.45850396156311
1,6,0,0.7899503111839294,0.5135317444801331,0.7897241711616516,0.5137355327606201,0,240,20410,76413,26.660791,7.12601900100708,9.059906005859375e-06,0.0,86.45850396156311
1,7,0,0.7899503111839294,0.5135236978530884,0.7897241711616516,0.5137361288070679,0,240,20410,76413,9.400984,7.458069086074829,0.0,84.40502500534058,86.45850396156311
2,1,0,0.7899503111839294,0.5135242938995361,0.7897241711616516,0.513728141784668,0,240,20410,76413,39.807564,7.761039733886719,9.298324584960938e-06,0.0,86.45850396156311
2,2,0,0.7899503111839294,0.513531506061554,0.7897241711616516,0.5137330889701843,0,240,20410,76413,14.962792,7.4782469272613525,7.867813110351562e-06,0.0,86.45850396156311
2,3,0,0.7899503111839294,0.5135278701782227,0.7897241711616516,0.5137357115745544,0,240,20410,76413,15.756553,8.221223831176758,1.0728836059570312e-05,0.0,86.45850396156311
2,4,0,0.7899503111839294,0.5135235786437988,0.7897241711616516,0.5137336850166321,0,240,20410,76413,106.286285,7.891026020050049,8.821487426757812e-06,0.0,86.45850396156311
2,5,0,0.7899503111839294,0.5135284066200256,0.7897241711616516,0.5137357115745544,0,240,20410,76413,24.048925,7.582010984420776,0.0,59.33850383758545,86.45850396156311
3,1,0,0.7899503111839294,0.5135287642478943,0.7897241711616516,0.5137373208999634,0,240,20410,76413,8.783134,7.392732858657837,9.059906005859375e-06,0.0,86.45850396156311
3,2,0,0.7899503111839294,0.5135260224342346,0.7897241711616516,0.5137320756912231,0,240,20410,76413,21.807077,7.579555034637451,1.0013580322265625e-05,0.0,86.45850396156311
3,3,0,0.7899503111839294,0.5135283470153809,0.7897241711616516,0.5137367248535156,0,240,20410,76413,18.03342,7.534218072891235,9.298324584960938e-06,0.0,86.45850396156311
3,4,0,0.7899503111839294,0.5135257840156555,0.7897241711616516,0.5137355327606201,0,240,20410,76413,24.616957,7.893895149230957,9.059906005859375e-06,0.0,86.45850396156311
3,5,0,0.7899503111839294,0.5135251879692078,0.7897241711616516,0.5137356519699097,0,240,20410,76413,23.810715,8.609135866165161,0.0,61.682271003723145,86.45850396156311
4,1,0,0.7899503111839294,0.5135241150856018,0.7897241711616516,0.5137320756912231,0,240,20410,76413,30.670311,8.97310733795166,3.62396240234375e-05,0.0,86.45850396156311
4,2,0,0.7899503111839294,0.5135301351547241,0.7897241711616516,0.5137349367141724,0,240,20410,76413,35.306,8.188499927520752,9.059906005859375e-06,0.0,86.45850396156311
4,3,0,0.7899503111839294,0.5135260820388794,0.7897241711616516,0.5137355327606201,0,240,20410,76413,25.766247,9.667482852935791,1.0967254638671875e-05,0.0,86.45850396156311
4,4,0,0.7899503111839294,0.5135306715965271,0.7897241711616516,0.5137352347373962,0,240,20410,76413,31.654732,7.5828447341918945,1.0013580322265625e-05,0.0,86.45850396156311
4,5,0,0.7899503111839294,0.513528048992157,0.7897241711616516,0.5137323141098022,0,240,20410,76413,13.767487,8.235345363616943,0.0,66.37069392204285,86.45850396156311
5,1,0,0.7899503111839294,0.5135292410850525,0.7897241711616516,0.5137333273887634,0,240,20410,76413,53.139435,8.188915967941284,1.0013580322265625e-05,0.0,86.45850396156311
5,2,0,0.7899503111839294,0.5135278701782227,0.7897241711616516,0.5137401223182678,0,240,20410,76413,74.29586,8.625041961669922,9.059906005859375e-06,0.0,86.45850396156311
5,3,0,0.7899503111839294,0.5135281085968018,0.7897241711616516,0.5137388706207275,0,240,20410,76413,12.347456,8.034860134124756,9.775161743164062e-06,0.0,86.45850396156311
5,4,0,0.7899503111839294,0.5135357975959778,0.7897241711616516,0.5137355327606201,0,240,20410,76413,58.832092,7.606514930725098,8.821487426757812e-06,0.0,86.45850396156311
5,5,0,0.7899503111839294,0.5135185718536377,0.7897241711616516,0.513737142086029,0,240,20410,76413,64.15322,8.391347885131836,0.0,64.64074611663818,86.45850396156311
6,1,0,0.7899503111839294,0.5135306715965271,0.7897241711616516,0.5137326717376709,0,240,20410,76413,8.374004,8.594806909561157,3.4809112548828125e-05,0.0,86.45850396156311
6,2,0,0.7899503111839294,0.5135247707366943,0.7897241711616516,0.513736367225647,0,240,20410,76413,9.242212,8.601521253585815,8.821487426757812e-06,0.0,86.45850396156311
6,3,0,0.7899503111839294,0.5135293006896973,0.7897241711616516,0.5137354731559753,0,240,20410,76413,26.808159,7.322196960449219,9.059906005859375e-06,0.0,86.45850396156311
6,4,0,0.7899503111839294,0.5135259032249451,0.7897241711616516,0.5137364268302917,0,240,20410,76413,2.950035,8.187997102737427,1.0013580322265625e-05,0.0,86.45850396156311
6,5,0,0.7899503111839294,0.5135226845741272,0.7897241711616516,0.5137382745742798,0,240,20410,76413,68.22884,7.86693811416626,0.0,64.55036115646362,86.45850396156311
7,1,0,0.7899503111839294,0.5135271549224854,0.7897241711616516,0.5137327909469604,0,240,20410,76413,19.691662,9.38915491104126,7.867813110351562e-06,0.0,86.45850396156311
