Node,FL Round,Epoch,Training Time,Loss,Accuracy,TP,TN,FP,FN,Aggregation Time,Round Time,Epsilon
1.0,1.0,30.0,171.29453706741333,26.07721710205078,0.9858599901199341,4.0,38273.0,0.0,549.0,,,
2.0,1.0,30.0,169.866632938385,0.0717763900756836,0.9864524006843567,0.0,38300.0,0.0,526.0,,,
3.0,1.0,30.0,171.21064615249634,304034.5,0.99956214427948,625.0,38184.0,12.0,5.0,,,
4.0,1.0,30.0,168.03065609931946,5000245760.0,0.9848297238349915,0.0,38237.0,0.0,589.0,,,
5.0,1.0,30.0,169.1985058784485,3091217408.0,0.9997166991233826,549.0,38266.0,7.0,4.0,,,
,,,,,,,,,,0.00598597526550293,855.0642130374908,3.20233162812017
1.0,2.0,30.0,177.25794386863708,35190616064.0,0.9997424483299255,591.0,38225.0,4.0,6.0,,,
2.0,2.0,30.0,180.1855432987213,37802418176.0,0.9896718859672546,577.0,37848.0,395.0,6.0,,,
3.0,2.0,30.0,183.48009276390076,17.368864059448242,0.9997939467430115,582.0,38236.0,4.0,4.0,,,
4.0,2.0,30.0,182.53531002998352,3666.5166015625,0.9996136426925659,594.0,38217.0,9.0,6.0,,,
5.0,2.0,30.0,183.00590777397156,4793089536.0,0.9996909499168396,560.0,38254.0,3.0,9.0,,,
,,,,,,,,,,0.002061128616333008,912.2705857753754,3.20233162812017
1.0,3.0,30.0,207.7041780948639,5159.4814453125,0.9998454451560974,553.0,38267.0,1.0,5.0,,,
2.0,3.0,30.0,195.17675185203552,7483291.0,0.999587893486023,567.0,38243.0,9.0,7.0,,,
3.0,3.0,30.0,183.99863505363464,0.069542795419693,0.9998454451560974,585.0,38235.0,2.0,4.0,,,
4.0,3.0,30.0,182.64340782165527,1.961824893951416,0.9997939467430115,553.0,38265.0,5.0,3.0,,,
5.0,3.0,30.0,185.64302682876587,0.007443123962730169,0.9999485015869141,577.0,38247.0,0.0,2.0,,,
,,,,,,,,,,0.0023581981658935547,961.0727570056915,3.20233162812017
1.0,4.0,30.0,176.34610199928284,4.112174034118652,0.9997424483299255,586.0,38230.0,2.0,8.0,,,
2.0,4.0,30.0,170.57709312438965,9011.9208984375,0.9997424483299255,540.0,38276.0,6.0,4.0,,,
3.0,4.0,30.0,163.00018882751465,160704976.0,0.9854221343994141,0.0,38260.0,1.0,565.0,,,
4.0,4.0,30.0,163.86644577980042,646.05859375,0.9996909499168396,547.0,38267.0,6.0,6.0,,,
5.0,4.0,30.0,163.69830703735352,0.07314799726009369,0.9860145449638367,0.0,38283.0,0.0,543.0,,,
,,,,,,,,,,0.0018887519836425781,842.8724451065063,3.20233162812017
1.0,5.0,30.0,164.12302994728088,0.0008177703712135553,0.9999227523803711,554.0,38269.0,0.0,3.0,,,
2.0,5.0,30.0,165.24088501930237,0.05078107863664627,0.9997166991233826,514.0,38301.0,6.0,5.0,,,
3.0,5.0,30.0,165.69283890724182,11095389.0,0.999587893486023,563.0,38247.0,8.0,8.0,,,
4.0,5.0,30.0,164.36723494529724,0.07100924104452133,0.9843661189079285,0.0,38219.0,0.0,607.0,,,
5.0,5.0,30.0,164.59922099113464,58.544517517089844,0.9998970031738281,579.0,38243.0,0.0,4.0,,,
,,,,,,,,,,0.0018968582153320312,829.2267379760742,3.20233162812017
1.0,6.0,30.0,163.30991196632385,0.07784656435251236,0.985010027885437,0.0,38244.0,0.0,582.0,,,
2.0,6.0,30.0,164.36712288856506,2760.232421875,0.999047040939331,597.0,38192.0,34.0,3.0,,,
3.0,6.0,30.0,164.99888515472412,3526.94873046875,0.9997424483299255,539.0,38277.0,0.0,10.0,,,
4.0,6.0,30.0,164.8454990386963,2.0569645130308345e-05,1.0,568.0,38258.0,0.0,0.0,,,
5.0,6.0,30.0,164.20282697677612,3088910336.0,0.9998454451560974,551.0,38269.0,3.0,3.0,,,
,,,,,,,,,,0.002040863037109375,826.9726867675781,3.20233162812017
1.0,7.0,30.0,164.2093539237976,50123208.0,0.984984278678894,0.0,38243.0,0.0,583.0,,,
2.0,7.0,30.0,164.9791030883789,11059101696.0,0.9998970031738281,586.0,38236.0,0.0,4.0,,,
3.0,7.0,30.0,164.4591670036316,1874822168576.0,0.9998970031738281,535.0,38287.0,0.0,4.0,,,
4.0,7.0,30.0,163.75760293006897,51639586816.0,0.9999227523803711,573.0,38250.0,0.0,3.0,,,
5.0,7.0,30.0,166.28650403022766,0.9605398178100586,0.9998196959495544,617.0,38202.0,0.0,7.0,,,
,,,,,,,,,,0.0019991397857666016,828.856369972229,3.20233162812017
1.0,8.0,30.0,164.0521159172058,187890016.0,0.9996909499168396,551.0,38263.0,9.0,3.0,,,
2.0,8.0,30.0,164.30280423164368,24456168.0,0.9997939467430115,573.0,38245.0,0.0,8.0,,,
3.0,8.0,30.0,163.63418221473694,255948292096.0,0.9999227523803711,582.0,38241.0,0.0,3.0,,,
4.0,8.0,30.0,164.4953498840332,12017678336.0,0.9996136426925659,597.0,38214.0,7.0,8.0,,,
5.0,8.0,30.0,163.92127585411072,0.07460109889507294,0.9857827425003052,0.0,38274.0,0.0,552.0,,,
,,,,,,,,,,0.0032248497009277344,825.6336131095886,3.20233162812017
1.0,9.0,30.0,164.93690705299377,0.17110447585582733,0.9999227523803711,578.0,38245.0,0.0,3.0,,,
2.0,9.0,30.0,165.3367838859558,98407227392.0,0.9838510155677795,0.0,38199.0,0.0,627.0,,,
3.0,9.0,30.0,164.87752199172974,0.0019475356675684452,0.9997939467430115,548.0,38270.0,0.0,8.0,,,
4.0,9.0,30.0,163.972895860672,0.07859353721141815,0.9848297238349915,0.0,38237.0,0.0,589.0,,,
5.0,9.0,30.0,163.41695594787598,0.41582822799682617,0.9997424483299255,535.0,38281.0,0.0,10.0,,,
,,,,,,,,,,0.0022211074829101562,827.7130119800568,3.20233162812017
1.0,10.0,30.0,164.635972738266,18839.91796875,0.9996652007102966,534.0,38279.0,6.0,7.0,,,
2.0,10.0,30.0,163.38188695907593,54831263744.0,0.9996652007102966,532.0,38281.0,6.0,7.0,,,
3.0,10.0,30.0,164.58021140098572,15.361498832702637,0.9997424483299255,546.0,38270.0,6.0,4.0,,,
4.0,10.0,30.0,165.76183986663818,5.927881240844727,0.9996393918991089,569.0,38243.0,9.0,5.0,,,
5.0,10.0,30.0,165.3164439201355,199.98692321777344,0.984984278678894,0.0,38243.0,0.0,583.0,,,
,,,,,,,,,,0.0027849674224853516,828.915843963623,3.20233162812017
