Node,FL Round,Epoch,Training Time,Loss,Accuracy,TP,TN,FP,FN,Aggregation Time,Round Time,Epsilon
1.0,1.0,30.0,174.34837293624878,0.07562916725873947,0.9855509400367737,0.0,38265.0,0.0,561.0,,,
2.0,1.0,30.0,172.08118391036987,0.0697009488940239,0.9851645827293396,0.0,38250.0,0.0,576.0,,,
3.0,1.0,30.0,171.6042411327362,0.07089092582464218,0.9866584539413452,0.0,38308.0,0.0,518.0,,,
4.0,1.0,30.0,172.81538772583008,0.06645764410495758,0.9858342409133911,0.0,38276.0,0.0,550.0,,,
5.0,1.0,30.0,173.41735196113586,0.06544232368469238,0.98591148853302,0.0,38279.0,0.0,547.0,,,
,,,,,,,,,,0.0050699710845947266,869.5714728832245,3.20233162812017
1.0,2.0,30.0,173.38525581359863,0.07841985672712326,0.9851130843162537,0.0,38248.0,0.0,578.0,,,
2.0,2.0,30.0,171.7920639514923,0.08070219308137894,0.9844434261322021,0.0,38222.0,0.0,604.0,,,
3.0,2.0,30.0,172.02281498908997,0.06937776505947113,0.9857054352760315,0.0,38271.0,0.0,555.0,,,
4.0,2.0,30.0,172.54891085624695,0.078708216547966,0.9848297238349915,0.0,38237.0,0.0,589.0,,,
5.0,2.0,30.0,172.22730708122253,0.07512640953063965,0.9858599901199341,0.0,38277.0,0.0,549.0,,,
,,,,,,,,,,0.0015740394592285156,867.2032949924469,3.20233162812017
1.0,3.0,30.0,171.0100691318512,0.07331019639968872,0.9861690402030945,0.0,38289.0,0.0,537.0,,,
2.0,3.0,30.0,171.83649897575378,0.075486920773983,0.9855766892433167,0.0,38266.0,0.0,560.0,,,
3.0,3.0,30.0,171.37019395828247,0.07636231184005737,0.9854221343994141,0.0,38260.0,0.0,566.0,,,
4.0,3.0,30.0,172.9890491962433,0.07379934936761856,0.9860917925834656,0.0,38286.0,0.0,540.0,,,
5.0,3.0,30.0,172.75943875312805,0.08232751488685608,0.9841858744621277,0.0,38212.0,0.0,614.0,,,
,,,,,,,,,,0.001695871353149414,865.6825578212738,3.20233162812017
1.0,4.0,30.0,175.0196568965912,0.07510671019554138,0.9857569932937622,0.0,38273.0,0.0,553.0,,,
2.0,4.0,30.0,172.0260407924652,0.07476271688938141,0.9857827425003052,0.0,38274.0,0.0,552.0,,,
3.0,4.0,30.0,172.0373251438141,0.07831699401140213,0.9849070310592651,0.0,38240.0,0.0,586.0,,,
4.0,4.0,30.0,174.4588828086853,0.07763214409351349,0.9850615859031677,0.0,38246.0,0.0,580.0,,,
5.0,4.0,30.0,173.2654128074646,0.0790640190243721,0.9848555326461792,0.0,38238.0,0.0,588.0,,,
,,,,,,,,,,0.0017311573028564453,872.252671957016,3.20233162812017
1.0,5.0,30.0,172.53017497062683,0.07905179262161255,0.9847267270088196,0.0,38233.0,0.0,593.0,,,
2.0,5.0,30.0,170.46741580963135,0.07626431435346603,0.9853963851928711,0.0,38259.0,0.0,567.0,,,
3.0,5.0,30.0,170.50246381759644,0.0792778804898262,0.9848297238349915,0.0,38237.0,0.0,589.0,,,
4.0,5.0,30.0,170.3870198726654,0.0750870406627655,0.9856796860694885,0.0,38270.0,0.0,556.0,,,
5.0,5.0,30.0,171.7453179359436,0.08137495815753937,0.984520673751831,0.0,38225.0,0.0,601.0,,,
,,,,,,,,,,0.0017211437225341797,860.8510179519653,3.20233162812017
1.0,6.0,30.0,171.6042981147766,0.0754614844918251,0.9855766892433167,0.0,38266.0,0.0,560.0,,,
2.0,6.0,30.0,171.269526720047,0.07891649007797241,0.9847524762153625,0.0,38234.0,0.0,592.0,,,
3.0,6.0,30.0,169.64126896858215,0.07925812155008316,0.9853706359863281,0.0,38258.0,0.0,568.0,,,
4.0,6.0,30.0,170.1155378818512,0.07231263816356659,0.9863235950469971,0.0,38295.0,0.0,531.0,,,
5.0,6.0,30.0,169.82851195335388,0.07522483170032501,0.9857311844825745,0.0,38272.0,0.0,554.0,,,
,,,,,,,,,,0.0017118453979492188,857.6961698532104,3.20233162812017
1.0,7.0,30.0,178.2166829109192,0.06212363392114639,0.986812949180603,0.0,38314.0,0.0,512.0,,,
2.0,7.0,30.0,197.91253089904785,0.07107178121805191,0.9864781498908997,0.0,38301.0,0.0,525.0,,,
3.0,7.0,30.0,199.0102891921997,0.0742083415389061,0.98591148853302,0.0,38279.0,0.0,547.0,,,
4.0,7.0,30.0,198.76335430145264,0.07622388750314713,0.9854221343994141,0.0,38260.0,0.0,566.0,,,
5.0,7.0,30.0,201.24186992645264,0.078189417719841,0.9849327802658081,0.0,38241.0,0.0,585.0,,,
,,,,,,,,,,0.0020792484283447266,981.3093409538269,3.20233162812017
1.0,8.0,30.0,203.1521761417389,0.07763419300317764,0.9850873351097107,0.0,38247.0,0.0,579.0,,,
2.0,8.0,30.0,202.59912991523743,0.07681542634963989,0.9852675795555115,0.0,38254.0,0.0,572.0,,,
3.0,8.0,30.0,202.23988008499146,0.07167293131351471,0.9864781498908997,0.0,38301.0,0.0,525.0,,,
4.0,8.0,30.0,200.63645672798157,0.0652703121304512,0.9861947894096375,0.0,38290.0,0.0,536.0,,,
5.0,8.0,30.0,197.88277411460876,0.07426394522190094,0.9858599901199341,0.0,38277.0,0.0,549.0,,,
,,,,,,,,,,0.002531766891479492,1012.6931238174438,3.20233162812017
1.0,9.0,30.0,191.65303921699524,0.07754158973693848,0.9851903319358826,0.0,38251.0,0.0,575.0,,,
2.0,9.0,30.0,193.0763041973114,0.07162349671125412,0.9867357015609741,0.0,38311.0,0.0,515.0,,,
3.0,9.0,30.0,184.73406314849854,0.07765094190835953,0.9854221343994141,0.0,38260.0,0.0,566.0,,,
4.0,9.0,30.0,187.76150703430176,0.07762287557125092,0.9851388335227966,0.0,38249.0,0.0,577.0,,,
5.0,9.0,30.0,187.9482398033142,0.04529011622071266,0.9850873351097107,0.0,38247.0,0.0,579.0,,,
,,,,,,,,,,0.002148866653442383,951.0134401321411,3.20233162812017
1.0,10.0,30.0,188.32934284210205,1.2612947225570679,0.9862463474273682,0.0,38292.0,1.0,533.0,,,
