Node,FL Round,Epoch,Training Time,Loss,Accuracy,TP,TN,FP,FN,Aggregation Time,Round Time,Epsilon
1.0,1.0,30.0,180.21450901031494,,0.985499382019043,0.0,38263.0,0.0,563.0,,,
2.0,1.0,30.0,175.92880201339722,,0.9862205982208252,0.0,38291.0,0.0,535.0,,,
3.0,1.0,30.0,174.3588409423828,,0.9850873351097107,0.0,38247.0,0.0,579.0,,,
4.0,1.0,30.0,221.39653706550598,,0.986375093460083,0.0,38297.0,0.0,529.0,,,
5.0,1.0,30.0,181.6230857372284,,0.9858599901199341,0.0,38277.0,0.0,549.0,,,
,,,,,,,,,,0.005208015441894531,939.4668481349945,3.20233162812017
1.0,2.0,30.0,164.23434209823608,,0.9851645827293396,0.0,38250.0,0.0,576.0,,,
2.0,2.0,30.0,162.8718388080597,,0.9846494793891907,0.0,38230.0,0.0,596.0,,,
3.0,2.0,30.0,162.64275789260864,0.07622770965099335,0.9853963851928711,0.0,38259.0,0.0,567.0,,,
4.0,2.0,30.0,163.03362774848938,,0.9870962500572205,0.0,38325.0,0.0,501.0,,,
5.0,2.0,30.0,163.50584602355957,,0.986400842666626,0.0,38298.0,0.0,528.0,,,
,,,,,,,,,,0.0017826557159423828,821.519364118576,3.20233162812017
1.0,3.0,30.0,167.80540704727173,,0.9847267270088196,0.0,38233.0,0.0,593.0,,,
2.0,3.0,30.0,164.98105788230896,,0.9855251908302307,0.0,38264.0,0.0,562.0,,,
3.0,3.0,30.0,163.7569010257721,,0.986400842666626,0.0,38298.0,0.0,528.0,,,
4.0,3.0,30.0,163.50052404403687,,0.9854736328125,0.0,38262.0,0.0,564.0,,,
5.0,3.0,30.0,163.42390775680542,,0.9842373728752136,0.0,38214.0,0.0,612.0,,,
,,,,,,,,,,0.0019483566284179688,828.7429268360138,3.20233162812017
1.0,4.0,30.0,164.94526386260986,,0.9853963851928711,0.0,38259.0,0.0,567.0,,,
2.0,4.0,30.0,164.9350368976593,,0.985885739326477,0.0,38278.0,0.0,548.0,,,
3.0,4.0,30.0,163.87135004997253,,0.9855766892433167,0.0,38266.0,0.0,560.0,,,
4.0,4.0,30.0,163.39221620559692,,0.9851130843162537,0.0,38248.0,0.0,578.0,,,
5.0,4.0,30.0,163.73019409179688,,0.9855766892433167,0.0,38266.0,0.0,560.0,,,
,,,,,,,,,,0.0019609928131103516,826.2078521251678,3.20233162812017
1.0,5.0,30.0,164.0708770751953,,0.9857827425003052,0.0,38274.0,0.0,552.0,,,
2.0,5.0,30.0,165.38928294181824,,0.9855766892433167,0.0,38266.0,0.0,560.0,,,
3.0,5.0,30.0,164.56866025924683,,0.9853963851928711,0.0,38259.0,0.0,567.0,,,
4.0,5.0,30.0,164.49586296081543,,0.9842116236686707,0.0,38213.0,0.0,613.0,,,
5.0,5.0,30.0,163.79132533073425,,0.985447883605957,0.0,38261.0,0.0,565.0,,,
,,,,,,,,,,0.001795053482055664,827.5742621421814,3.20233162812017
1.0,6.0,30.0,164.11783409118652,,0.9853963851928711,0.0,38259.0,0.0,567.0,,,
2.0,6.0,30.0,164.27865314483643,,0.985010027885437,0.0,38244.0,0.0,582.0,,,
3.0,6.0,30.0,164.31437015533447,,0.9856281876564026,0.0,38268.0,0.0,558.0,,,
4.0,6.0,30.0,163.9737229347229,,0.985499382019043,0.0,38263.0,0.0,563.0,,,
5.0,6.0,30.0,163.42963790893555,,0.9855766892433167,0.0,38266.0,0.0,560.0,,,
,,,,,,,,,,0.0017583370208740234,825.3155159950256,3.20233162812017
1.0,7.0,30.0,162.48393416404724,,0.9857827425003052,0.0,38274.0,0.0,552.0,,,
2.0,7.0,30.0,163.07170796394348,,0.9848812818527222,0.0,38239.0,0.0,587.0,,,
3.0,7.0,30.0,163.79080891609192,0.07537470012903214,0.9856024384498596,0.0,38267.0,0.0,559.0,,,
4.0,7.0,30.0,163.69643115997314,,0.98634934425354,0.0,38296.0,0.0,530.0,,,
5.0,7.0,30.0,164.10827708244324,,0.9849070310592651,0.0,38240.0,0.0,586.0,,,
,,,,,,,,,,0.0020122528076171875,822.3871760368347,3.20233162812017
1.0,8.0,30.0,163.493549823761,,0.9856281876564026,0.0,38268.0,0.0,558.0,,,
2.0,8.0,30.0,163.53022384643555,,0.985499382019043,0.0,38263.0,0.0,563.0,,,
3.0,8.0,30.0,163.13685297966003,,0.9851388335227966,0.0,38249.0,0.0,577.0,,,
4.0,8.0,30.0,163.26489114761353,,0.9856024384498596,0.0,38267.0,0.0,559.0,,,
