FL round,Epoch,Client 1 Epoch Time (seconds),Client 1 Training Loss,Client 1 Training Accuracy,Client 1 True Positives,Client 1 True Negatives,Client 1 False Positives,Client 1 False Negatives,Client 2 Epoch Time (seconds),Client 2 Training Loss,Client 2 Training Accuracy,Client 2 True Positives,Client 2 True Negatives,Client 2 False Positives,Client 2 False Negatives,Client 3 Epoch Time (seconds),Client 3 Training Loss,Client 3 Training Accuracy,Client 3 True Positives,Client 3 True Negatives,Client 3 False Positives,Client 3 False Negatives,Client 4 Epoch Time (seconds),Client 4 Training Loss,Client 4 Training Accuracy,Client 4 True Positives,Client 4 True Negatives,Client 4 False Positives,Client 4 False Negatives,Client 5 Epoch Time (seconds),Client 5 Training Loss,Client 5 Training Accuracy,Client 5 True Positives,Client 5 True Negatives,Client 5 False Positives,Client 5 False Negatives,Server Aggregation Time (seconds),FL Round Time (seconds)
1,1,5.82197117805481,1.1332574525130157e+28,0.9899036884307861,308.0,38126.0,161.0,231.0,5.864727973937988,3.8545174194030435e+27,0.9908051490783691,294.0,38175.0,102.0,255.0,5.7421581745147705,1.6208584382111587e+28,0.9897491335868835,354.0,38074.0,131.0,267.0,5.8966779708862305,2.406591864705828e+28,0.9902642369270325,325.0,38123.0,116.0,262.0,5.821629047393799,2.0712192402750636e+26,0.9893112778663635,310.0,38101.0,169.0,246.0,0.007670879364013672,
1,2,5.803078889846802,5.958302467878858e+27,0.9903672933578491,327.0,38125.0,110.0,264.0,5.91710901260376,4.065461308122223e+20,0.9908566474914551,333.0,38138.0,134.0,221.0,5.89089822769165,1.8596271905431515e+28,0.9916550517082214,297.0,38205.0,57.0,267.0,6.187968015670776,3.6543468557318094e+26,0.9919126629829407,321.0,38191.0,73.0,241.0,6.150836944580078,8.921335425685397e+22,0.9883840680122375,315.0,38060.0,205.0,246.0,0.005082130432128906,
1,3,6.328593969345093,3.491584946464966e+22,0.990444540977478,327.0,38128.0,127.0,244.0,6.354614973068237,4.212922107771262e+21,0.9896461367607117,302.0,38122.0,165.0,237.0,6.093722820281982,1.06649943539712e+16,0.9728789925575256,329.0,37444.0,821.0,232.0,6.302248954772949,1.7006664317716557e+28,0.9900839924812317,349.0,38092.0,161.0,224.0,6.2744300365448,3.88943052413629e+28,0.990933895111084,336.0,38138.0,96.0,256.0,0.005112648010253906,
1,4,6.408692121505737,1.9574791634624478e+21,0.9901869893074036,305.0,38140.0,135.0,246.0,6.170780897140503,1.0202576125300922e+27,0.9865553975105286,342.0,37962.0,285.0,237.0,6.455581903457642,9.034670994565788e+27,0.9884355664253235,322.0,38055.0,196.0,253.0,6.4675469398498535,1.2032937606636372e+19,0.988203763961792,291.0,38077.0,196.0,262.0,6.459355115890503,1.1010422947810135e+28,0.990006685256958,346.0,38092.0,138.0,250.0,0.006896018981933594,
1,5,6.695475339889526,3.6722648229718524e+19,0.9911914467811584,317.0,38167.0,100.0,242.0,6.6565868854522705,1.6111865889323839e+25,0.9899551868438721,335.0,38101.0,137.0,253.0,6.780717134475708,3.158514681952258e+28,0.991371750831604,329.0,38162.0,83.0,252.0,6.812930107116699,2.53719528498434e+28,0.9896203279495239,312.0,38111.0,127.0,276.0,7.038939952850342,2.076418316741658e+25,0.9869417548179626,305.0,38014.0,284.0,223.0,0.005620241165161133,
1,6,6.9688897132873535,6.672377563509005e+24,0.98634934425354,339.0,37957.0,302.0,228.0,6.581469774246216,2.866091877381426e+27,0.989568829536438,361.0,38060.0,151.0,254.0,6.63464093208313,6.1697072102361365e+22,0.9910627007484436,313.0,38166.0,133.0,214.0,6.633127212524414,1.2696015880916376e+27,0.9828980565071106,321.0,37841.0,439.0,225.0,6.791299104690552,1.4356982171854438e+17,0.991783857345581,327.0,38180.0,83.0,236.0,0.0056531429290771484,
1,7,8.294133186340332,3.8488707234681284e+25,0.9887446761131287,322.0,38067.0,215.0,222.0,8.593817949295044,2.317270191628942e+28,0.9912687540054321,310.0,38177.0,108.0,231.0,8.98412799835205,2.527392596639199e+28,0.9924535155296326,290.0,38243.0,2.0,291.0,10.618698120117188,3.2608154772301677e+20,0.9916550517082214,333.0,38169.0,99.0,225.0,10.940315246582031,1.0799759133123923e+22,0.9910369515419006,294.0,38184.0,95.0,253.0,0.007590055465698242,
1,8,9.271153926849365,1.1255636549799624e+28,0.991371750831604,297.0,38194.0,82.0,253.0,8.761636972427368,9.86811225942553e+24,0.989105224609375,313.0,38090.0,166.0,257.0,8.634998083114624,8.980617016915431e+27,0.991346001625061,295.0,38195.0,87.0,249.0,8.4755220413208,1.5864871660022403e+28,0.989594578742981,308.0,38114.0,129.0,275.0,8.367568969726562,1.0555660236101409e+28,0.9899294376373291,310.0,38125.0,156.0,235.0,0.007102251052856445,
1,9,8.454236030578613,2.613881729736056e+25,0.9915778040885925,300.0,38199.0,74.0,253.0,8.936933994293213,3.120063108013397e+27,0.9889507293701172,299.0,38098.0,172.0,257.0,8.957252979278564,1.4961818618027977e+25,0.9777726531028748,347.0,37616.0,632.0,231.0,9.027758836746216,1.4341302059895347e+22,0.9882810711860657,293.0,38078.0,202.0,253.0,9.08269715309143,2.0269261635604972e+25,0.9901097416877747,342.0,38100.0,149.0,235.0,0.00658416748046875,
1,10,8.919262170791626,2.8042942102116567e+24,0.9764590859413147,340.0,37572.0,691.0,223.0,8.8264319896698,8.457710556858896e+27,0.9887961745262146,320.0,38071.0,192.0,243.0,8.877936124801636,2.501422999165093e+25,0.9914232492446899,321.0,38172.0,103.0,230.0,8.925784826278687,1.1357285857278275e+26,0.989594578742981,343.0,38079.0,166.0,238.0,8.958284139633179,5.329168734973411e+27,0.9876629114151001,332.0,38015.0,229.0,250.0,0.006638050079345703,
