FL Round,Convergence Time (s),Aggregation Time (s),FL Round Time (s),Accuracy,Loss,TP,TN,FP,FN
1,281.52,,,0.9264909029006958,2.2905689398378355e+29,77635.0,372004.0,10287.0,25388.0
1,307.37,,,0.9575862288475037,3.7457673993494023e+28,94327.0,370403.0,12499.0,8085.0
1,727.42,,,0.9248651266098022,2.44136052405428e+29,76529.0,372321.0,10067.0,26397.0
1,823.05,,,0.958499014377594,1.8394717762167777e+28,95626.0,369547.0,13305.0,6836.0
1,776.7,,,0.5775367617607117,5.3808766881787436e+29,102568.0,177721.0,204923.0,106.0
1,,0.00783395767211914,3197.3541560173035,,,,,,
2,825.37,,,0.9445946216583252,1.1913753334757035e+29,87255.0,371170.0,11121.0,15768.0
2,551.73,,,0.9289717674255371,2.049681025546655e+29,78283.0,372560.0,10342.0,24129.0
2,689.9,,,0.900272786617279,7.131336295217922e+29,63234.0,373681.0,8707.0,39692.0
2,700.65,,,0.925337016582489,2.487836732716068e+29,76170.0,372909.0,9943.0,26292.0
2,632.31,,,0.5768609642982483,1.712007643505083e+29,102674.0,177287.0,205357.0,0.0
2,,0.0018019676208496094,3697.6257820129395,,,,,,
3,653.82,,,0.9235237240791321,2.6888708962063777e+29,75988.0,372211.0,10080.0,27035.0
3,537.08,,,0.9187701344490051,3.10610878659259e+29,72764.0,373128.0,9774.0,29648.0
3,815.81,,,0.5778877139091492,1.0488682723380209e+30,102926.0,177531.0,204857.0,0.0
3,841.47,,,0.9242964386940002,2.67532091560975e+29,75583.0,372991.0,9861.0,26879.0
3,793.25,,,0.918344259262085,3.340442622889525e+29,72910.0,372779.0,9865.0,29764.0
3,,0.00019693374633789062,3924.867210149765,,,,,,
4,823.46,,,0.9139217138290405,4.0064859472120974e+29,70789.0,372750.0,9541.0,32234.0
4,723.93,,,0.9565786123275757,5.879155015330152e+28,93303.0,370938.0,11964.0,9109.0
4,1009.69,,,0.9157885313034058,3.5149710877847844e+29,71656.0,372789.0,9599.0,31270.0
4,572.83,,,0.9295589923858643,1.9407435865732248e+29,78540.0,372588.0,10264.0,23922.0
4,574.11,,,0.9214000105857849,2.889828557359665e+29,74618.0,372554.0,10090.0,28056.0
4,,0.0007107257843017578,4063.4827020168304,,,,,,
5,591.04,,,0.914949893951416,3.7968472542006804e+29,71360.0,372678.0,9613.0,31663.0
5,595.46,,,0.8986635208129883,8.52733658521018e+29,61652.0,374482.0,8420.0,40760.0
5,528.9,,,0.9364535212516785,1.587611821191968e+29,82721.0,371753.0,10635.0,20205.0
5,411.58,,,0.9169507026672363,3.402298068028745e+29,71704.0,373305.0,9547.0,30758.0
5,410.44,,,0.9187378287315369,3.196899304540308e+29,73176.0,372704.0,9940.0,29498.0
5,,0.00011920928955078125,2749.9106380939484,,,,,,
6,306.04,,,0.9167384505271912,3.4026259891573156e+29,72397.0,372509.0,9782.0,30626.0
6,300.72,,,0.5762001276016235,1.1575383875895888e+30,102407.0,177231.0,205671.0,5.0
6,298.74,,,0.577885627746582,1.914806876470962e+30,102925.0,177531.0,204857.0,1.0
6,300.32,,,0.9413802027702332,1.2796528913232272e+29,84823.0,372042.0,10810.0,17639.0
6,299.67,,,0.8894910216331482,1.2724195103551542e+30,57135.0,374551.0,8093.0,45539.0
6,,7.510185241699219e-05,1649.0152552127838,,,,,,
7,299.7,,,0.9291160106658936,1.9459929691555827e+29,79120.0,371793.0,10498.0,23903.0
7,301.17,,,0.9578850269317627,2.9718140341054132e+28,94761.0,370114.0,12788.0,7651.0
7,298.06,,,0.9575965404510498,3.6016289683760135e+28,94871.0,369864.0,12524.0,8055.0
7,297.81,,,0.9384480714797974,1.4041675283770511e+29,83844.0,371598.0,11254.0,18618.0
7,300.09,,,0.9368311166763306,1.6913918692821266e+29,82781.0,371880.0,10764.0,19893.0
7,,7.414817810058594e-05,1638.9901010990143,,,,,,
8,301.49,,,0.907602071762085,5.475149856960248e+29,67302.0,373170.0,9121.0,35721.0
8,298.99,,,0.920441210269928,2.8165572634847562e+29,73709.0,372994.0,9908.0,28703.0
8,300.58,,,0.9217331409454346,2.73743269080166e+29,74829.0,372501.0,9887.0,28097.0
8,301.15,,,0.9196973443031311,2.874192990829543e+29,73249.0,373093.0,9759.0,29213.0
8,300.92,,,0.9136627912521362,4.3344652553376345e+29,70299.0,373118.0,9526.0,32375.0
8,,7.510185241699219e-05,1645.5065200328827,,,,,,
9,303.35,,,0.9152095317840576,3.690739079434467e+29,71531.0,372633.0,9658.0,31492.0
9,298.54,,,0.9395051598548889,1.3400426083534938e+29,83940.0,372015.0,10887.0,18472.0
9,308.23,,,0.9548972249031067,8.800240444203283e+28,92418.0,371007.0,11381.0,10508.0
9,309.77,,,0.92601078748703,2.2484244635034544e+29,77173.0,372233.0,10619.0,25289.0
9,299.14,,,0.9256054759025574,2.5432061019383958e+29,76820.0,372393.0,10251.0,25854.0
9,,7.319450378417969e-05,1661.6810851097107,,,,,,
10,302.25,,,0.9362598061561584,1.659436937555163e+29,82779.0,371601.0,10690.0,20244.0
10,304.09,,,0.9562015533447266,6.708582491885059e+28,92957.0,371101.0,11801.0,9455.0
10,303.34,,,0.9234351515769958,2.6657258224951963e+29,75712.0,372444.0,9944.0,27214.0
10,304.15,,,0.9242449402809143,2.669814447396065e+29,75558.0,372991.0,9861.0,26904.0
10,302.5,,,0.9577596783638,3.1805657722440176e+28,95049.0,369769.0,12875.0,7625.0
10,,7.104873657226562e-05,1659.8971772193909,,,,,,
