FL Round,Convergence Time (s),Aggregation Time (s),FL Round Time (s),Accuracy,Loss,TP,TN,FP,FN
1,396.59,,,0.9572008848190308,3.0895985905661755e+28,95117.0,369426.0,12865.0,7906.0
1,469.21,,,0.9175543785095215,3.337101831944884e+29,72077.0,373225.0,9677.0,30335.0
1,473.55,,,0.9572977423667908,4.5232016209279145e+28,94437.0,370153.0,12235.0,8489.0
1,433.41,,,0.9558079838752747,6.801827034799265e+28,93079.0,370788.0,12064.0,9383.0
1,391.12,,,0.9266728162765503,2.3801480763353678e+29,77410.0,372321.0,10323.0,25264.0
1,,0.0022759437561035156,2359.9920551776886,,,,,,
2,383.55,,,0.5767111778259277,2.1463988312300797e+30,102985.0,176901.0,205390.0,38.0
2,338.08,,,0.924267590045929,2.629337722008774e+29,75664.0,372896.0,10006.0,26748.0
2,323.98,,,0.9574193358421326,3.998754016569695e+28,94641.0,370008.0,12380.0,8285.0
2,361.91,,,0.9260705709457397,2.3658415726281845e+29,76586.0,372849.0,10003.0,25876.0
2,473.84,,,0.5777552127838135,9.755911416181393e+28,102674.0,177721.0,204923.0,0.0
2,,0.00010609626770019531,2051.069082260132,,,,,,
3,525.21,,,0.9577778577804565,2.1033644627109336e+28,95879.0,368944.0,13347.0,7144.0
3,413.72,,,0.9316895604133606,1.7652867044274336e+29,79783.0,372379.0,10523.0,22629.0
3,432.91,,,0.9476895332336426,1.1077092609460316e+29,88615.0,371312.0,11076.0,14311.0
3,482.02,,,0.956494152545929,7.014624896540392e+28,92944.0,371256.0,11596.0,9518.0
3,688.36,,,0.9543454051017761,1.0412308079147418e+29,91901.0,371260.0,11384.0,10773.0
3,,0.0001361370086669922,2759.7559921741486,,,,,,
4,387.59,,,0.9145790338516235,3.6572450340234066e+29,71663.0,372195.0,10096.0,31360.0
4,608.89,,,0.9162892699241638,3.578045281265903e+29,71366.0,373322.0,9580.0,31046.0
4,331.53,,,0.9101179838180542,4.887745268257015e+29,68514.0,373179.0,9209.0,34412.0
4,334.96,,,0.9298804402351379,1.9177496285894953e+29,78718.0,372566.0,10286.0,23744.0
4,408.33,,,0.9574464559555054,3.9246822815759396e+28,94644.0,370022.0,12622.0,8030.0
4,,7.104873657226562e-05,2242.328624010086,,,,,,
5,338.2,,,0.921518862247467,2.8081469176734247e+29,74954.0,372272.0,10019.0,28069.0
5,341.52,,,0.9257326126098633,2.414656674961608e+29,76509.0,372762.0,10140.0,25903.0
5,341.14,,,0.9196169972419739,2.8099793847634374e+29,73773.0,372530.0,9858.0,29153.0
5,339.92,,,0.95646733045578,7.008481569982827e+28,92939.0,371248.0,11604.0,9523.0
5,333.31,,,0.9422172904014587,1.2351843495479665e+29,85826.0,371449.0,11195.0,16848.0
5,,7.200241088867188e-05,1854.3132421970367,,,,,,
6,334.77,,,0.9547880291938782,8.970457199605023e+28,92575.0,370797.0,11494.0,10448.0
6,406.93,,,0.9407126307487488,1.3278076179276862e+29,84539.0,372002.0,10900.0,17873.0
6,337.41,,,0.9364761710166931,1.614285636033809e+29,82720.0,371765.0,10623.0,20206.0
6,447.47,,,0.9374260902404785,1.5845493665278271e+29,82632.0,372314.0,10538.0,19830.0
6,530.67,,,0.9277298450469971,2.263753642896168e+29,77995.0,372249.0,10395.0,24679.0
6,,0.0005130767822265625,2247.9547152519226,,,,,,
7,418.07,,,0.928252637386322,2.0911430254769318e+29,78614.0,371880.0,10411.0,24409.0
7,400.76,,,0.9160152077674866,3.692688094529277e+29,71198.0,373357.0,9545.0,31214.0
7,349.9,,,0.9576047658920288,1.2950306166433846e+28,96247.0,368492.0,13896.0,6679.0
7,332.76,,,0.9249434471130371,2.561520383632261e+29,75941.0,372947.0,9905.0,26521.0
7,331.07,,,0.9258527159690857,2.5081971213596307e+29,76960.0,372373.0,10271.0,25714.0
7,,7.605552673339844e-05,1999.374927997589,,,,,,
8,331.91,,,0.575678825378418,5.967139370887487e+30,103023.0,176362.0,205929.0,0.0
8,334.25,,,0.9572626948356628,4.369021549865352e+28,93996.0,370577.0,12325.0,8416.0
8,332.48,,,0.9185249209403992,2.9890796670980923e+29,73170.0,372603.0,9785.0,29756.0
8,330.07,,,0.5753161907196045,1.5023390673585625e+30,102462.0,176747.0,206105.0,0.0
8,333.29,,,0.937193751335144,1.636422390053568e+29,83003.0,371834.0,10810.0,19671.0
8,,7.605552673339844e-05,1819.9991509914398,,,,,,
9,333.0,,,0.9565538763999939,4.758343359682739e+28,94252.0,369977.0,12314.0,8771.0
9,334.41,,,0.9265856742858887,2.2891312625857907e+29,76980.0,372705.0,10197.0,25432.0
9,336.8,,,0.9248136281967163,2.450514548139334e+29,76498.0,372327.0,10061.0,26428.0
9,336.33,,,0.9149025082588196,3.849356947175642e+29,70554.0,373461.0,9391.0,31908.0
9,335.84,,,0.9334704279899597,1.758747926900593e+29,81108.0,371922.0,10722.0,21566.0
9,,7.081031799316406e-05,1834.6752948760986,,,,,,
10,337.13,,,0.9233238697052002,2.740545863681827e+29,75873.0,372229.0,10062.0,27150.0
10,334.33,,,0.918864905834198,3.0887183886774334e+29,72810.0,373128.0,9774.0,29602.0
10,334.56,,,0.9575017690658569,3.4029361069642456e+28,94896.0,369793.0,12595.0,8030.0
10,427.12,,,0.9294230341911316,1.9704060927147443e+29,78449.0,372613.0,10239.0,24013.0
10,337.13,,,0.9197165369987488,3.031515607891796e+29,73734.0,372621.0,10023.0,28940.0
10,,7.200241088867188e-05,1932.2046329975128,,,,,,
