FL Round,Convergence Time (s),Aggregation Time (s),FL Round Time (s),Accuracy,Loss,TP,TN,FP,FN
1,279.8,,,0.9325096607208252,1.753944335714218e+29,80900.0,371660.0,10631.0,22123.0
1,311.61,,,0.9143646955490112,4.071970058756754e+29,70262.0,373492.0,9410.0,32150.0
1,331.49,,,0.912945032119751,3.972950722765306e+29,70562.0,372503.0,9885.0,32364.0
1,333.38,,,0.9574934840202332,4.540953941010318e+28,93999.0,370686.0,12166.0,8463.0
1,338.57,,,0.929909884929657,1.9575442553620005e+29,79227.0,372075.0,10569.0,23447.0
1,,0.00011587142944335938,1757.4941990375519,,,,,,
2,538.1,,,0.9363999366760254,1.626314636833634e+29,82876.0,371572.0,10719.0,20147.0
2,582.76,,,0.9558656811714172,7.355402195623825e+28,92666.0,371229.0,11673.0,9746.0
2,558.91,,,0.9570752382278442,1.601603284025163e+27,99175.0,365307.0,17081.0,3751.0
2,513.51,,,0.9276612401008606,2.2300761807709126e+29,77458.0,372749.0,10103.0,25004.0
2,704.77,,,0.9389060139656067,1.4729968698908431e+29,83981.0,371687.0,10957.0,18693.0
2,,0.00013899803161621094,3172.3357629776,,,,,,
3,561.77,,,0.9259675145149231,2.33454852778746e+29,77355.0,372030.0,10261.0,25668.0
3,454.58,,,0.932534396648407,1.709571280189241e+29,80237.0,372335.0,10567.0,22175.0
3,456.28,,,0.9119786620140076,4.1471149987574064e+29,70045.0,372551.0,9837.0,32881.0
3,468.5,,,0.915615439414978,3.695872480696006e+29,70945.0,373416.0,9436.0,31517.0
3,463.18,,,0.9571291208267212,4.682544655266199e+28,94246.0,370266.0,12378.0,8428.0
3,,5.698204040527344e-05,2616.9730591773987,,,,,,
4,473.25,,,0.9038416147232056,6.673771472909256e+29,65208.0,373439.0,8852.0,37815.0
4,483.01,,,0.9209274649620056,2.7644788170170104e+29,74339.0,372600.0,10302.0,28073.0
4,478.45,,,0.9037736654281616,6.581995113734574e+29,65037.0,373577.0,8811.0,37889.0
4,474.32,,,0.9388293027877808,1.3703818296120085e+29,83917.0,371710.0,11142.0,18545.0
4,464.73,,,0.9225641489028931,2.8594284175735214e+29,75195.0,372542.0,10102.0,27479.0
4,,5.5789947509765625e-05,2584.835052013397,,,,,,
5,473.32,,,0.9564653038978577,5.404432513326605e+28,94057.0,370129.0,12162.0,8966.0
5,493.61,,,0.9292272925376892,1.99635077417163e+29,78433.0,372534.0,10368.0,23979.0
5,507.66,,,0.5778093934059143,4.5521965733434155e+30,102888.0,177531.0,204857.0,38.0
5,487.12,,,0.9200888276100159,2.83325366242159e+29,73456.0,373076.0,9776.0,29006.0
5,482.29,,,0.929104208946228,2.1125366679069465e+29,78766.0,372145.0,10499.0,23908.0
5,,5.459785461425781e-05,2660.1125931739807,,,,,,
6,475.75,,,0.956599235534668,4.766325103512086e+28,94278.0,369973.0,12318.0,8745.0
6,482.38,,,0.957310140132904,3.953925772139434e+28,94122.0,370474.0,12428.0,8290.0
6,489.95,,,0.9161306023597717,3.46056564800894e+29,71837.0,372774.0,9614.0,31089.0
6,497.97,,,0.9560738205909729,7.736976018752768e+28,92625.0,371371.0,11481.0,9837.0
6,476.94,,,0.9334601163864136,1.7473335893221784e+29,81103.0,371922.0,10722.0,21571.0
6,,5.888938903808594e-05,2636.5904319286346,,,,,,
7,466.45,,,0.8985275626182556,8.363617050510232e+29,62341.0,373727.0,8564.0,40682.0
7,472.22,,,0.9191492795944214,3.0047958916477418e+29,72992.0,373084.0,9818.0,29420.0
7,482.08,,,0.9485199451446533,1.066545363351465e+26,99905.0,360425.0,21963.0,3021.0
7,474.68,,,0.9392867088317871,1.445195353932893e+29,83660.0,372189.0,10663.0,18802.0
7,492.5,,,0.9372617602348328,1.5977405417190862e+29,83057.0,371813.0,10831.0,19617.0
7,,6.103515625e-05,2597.709830760956,,,,,,
8,486.79,,,0.9251598119735718,2.4345750501023743e+29,76903.0,372090.0,10201.0,26120.0
8,492.61,,,0.945845365524292,1.1619206114594303e+29,87211.0,371821.0,11081.0,15201.0
8,481.87,,,0.9405683875083923,1.307474902351713e+29,84962.0,371509.0,10879.0,17964.0
8,460.37,,,0.9195510745048523,2.910312105321101e+29,73160.0,373111.0,9741.0,29302.0
8,452.39,,,0.9156079292297363,3.614830249431546e+29,72026.0,372335.0,10309.0,30648.0
8,,5.5789947509765625e-05,2586.5029220581055,,,,,,
9,452.22,,,0.9384439587593079,1.4475488869406255e+29,84021.0,371419.0,10872.0,19002.0
9,451.29,,,0.913934051990509,3.956698226277862e+29,70583.0,372962.0,9940.0,31829.0
9,460.0,,,0.9175646901130676,3.19916188476958e+29,72630.0,372677.0,9711.0,30296.0
9,460.68,,,0.9568114876747131,6.017109507394223e+28,93314.0,371040.0,11812.0,9148.0
9,454.96,,,0.913329005241394,4.437306685865658e+29,70105.0,373150.0,9494.0,32569.0
9,,5.698204040527344e-05,2485.491548061371,,,,,,
10,462.09,,,0.914284348487854,3.957527473832254e+29,71000.0,372715.0,9576.0,32023.0
10,467.39,,,0.9384996294975281,1.362171617692221e+29,83935.0,371532.0,11370.0,18477.0
10,467.63,,,0.9061596989631653,5.5277026179175334e+29,66413.0,373359.0,9029.0,36513.0
10,468.05,,,0.5760889053344727,1.9887974434296098e+29,102418.0,177166.0,205686.0,44.0
10,461.14,,,0.9202997088432312,2.9332076491873277e+29,74052.0,372586.0,10058.0,28622.0
10,,5.793571472167969e-05,2533.274887084961,,,,,,
