Node,FL Round,Epoch,Training Time,Loss,Accuracy,TP,TN,FP,FN,Aggregation Time,Round Time,Epsilon
1.0,1.0,30.0,296.68800592422485,3382875.5,0.9958275556564331,562.0,38102.0,156.0,6.0,,,
2.0,1.0,30.0,246.4848268032074,0.6592999696731567,0.999587893486023,556.0,38254.0,10.0,6.0,,,
3.0,1.0,30.0,245.77316665649414,1.1797572374343872,0.9997424483299255,556.0,38260.0,0.0,10.0,,,
4.0,1.0,30.0,312.04265332221985,0.16623960435390472,0.9997166991233826,564.0,38251.0,6.0,5.0,,,
5.0,1.0,30.0,313.28878593444824,10150611968.0,0.9998454451560974,541.0,38279.0,0.0,6.0,,,
,,,,,,,,,,0.00976419448852539,1424.6243228912354,
1.0,2.0,30.0,299.60149693489075,0.08064299076795578,0.9843403697013855,0.0,38218.0,0.0,608.0,,,
2.0,2.0,30.0,328.5965209007263,148510343168.0,0.9992530941963196,554.0,38243.0,24.0,5.0,,,
3.0,2.0,30.0,346.36123609542847,16919.24609375,0.9998454451560974,570.0,38250.0,0.0,6.0,,,
4.0,2.0,30.0,374.16853380203247,0.07632672786712646,0.9853706359863281,0.0,38258.0,0.0,568.0,,,
5.0,2.0,30.0,377.0432360172272,1.057999610900879,0.9996652007102966,569.0,38244.0,7.0,6.0,,,
,,,,,,,,,,0.0034029483795166016,1737.7702450752258,
1.0,3.0,30.0,324.4972836971283,82341344.0,0.9997166991233826,580.0,38235.0,6.0,5.0,,,
2.0,3.0,30.0,325.76936292648315,0.0737273097038269,0.9859887957572937,0.0,38282.0,0.0,544.0,,,
3.0,3.0,30.0,301.25773000717163,7327856.0,0.998609185218811,594.0,38178.0,44.0,10.0,,,
4.0,3.0,30.0,265.635418176651,6.95207405090332,0.9997424483299255,581.0,38235.0,9.0,1.0,,,
5.0,3.0,30.0,260.06505703926086,13425309.0,0.9998711943626404,595.0,38226.0,3.0,2.0,,,
,,,,,,,,,,0.003907680511474609,1486.2750189304352,
1.0,4.0,30.0,237.10557508468628,2023.397705078125,0.9998970031738281,527.0,38295.0,0.0,4.0,,,
2.0,4.0,30.0,287.8312487602234,4138.43408203125,0.9988152384757996,548.0,38232.0,43.0,3.0,,,
3.0,4.0,30.0,331.91325879096985,115899.5625,0.9997424483299255,560.0,38256.0,7.0,3.0,,,
4.0,4.0,30.0,315.8644971847534,311396.0,0.9998970031738281,541.0,38281.0,0.0,4.0,,,
5.0,4.0,30.0,246.25497770309448,1.0811363458633423,0.9853448867797852,0.0,38257.0,0.0,569.0,,,
,,,,,,,,,,0.002658843994140625,1427.0655341148376,
1.0,5.0,30.0,283.240051984787,638104256.0,0.9993045926094055,596.0,38203.0,25.0,2.0,,,
2.0,5.0,30.0,238.31100010871887,1028595580928.0,0.9992015361785889,534.0,38261.0,24.0,7.0,,,
3.0,5.0,30.0,238.77830576896667,66903613440.0,0.9998196959495544,563.0,38256.0,0.0,7.0,,,
4.0,5.0,30.0,242.38315391540527,25452.615234375,0.9997166991233826,551.0,38264.0,9.0,2.0,,,
5.0,5.0,30.0,302.58886790275574,443.36749267578125,0.9996909499168396,585.0,38229.0,9.0,3.0,,,
,,,,,,,,,,0.03261995315551758,1312.8657341003418,
1.0,6.0,30.0,263.9564719200134,12101276.0,0.9855766892433167,0.0,38266.0,2.0,558.0,,,
2.0,6.0,30.0,296.78352093696594,41499049984.0,0.9997939467430115,572.0,38246.0,0.0,8.0,,,
3.0,6.0,30.0,354.17814803123474,23058.107421875,0.9999485015869141,574.0,38250.0,0.0,2.0,,,
4.0,6.0,30.0,433.65791273117065,294517.96875,0.9996136426925659,575.0,38236.0,9.0,6.0,,,
5.0,6.0,30.0,329.27043890953064,114491776.0,0.998660683631897,534.0,38240.0,46.0,6.0,,,
,,,,,,,,,,0.003016948699951172,1688.182588338852,
1.0,7.0,30.0,289.08754420280457,3389.85009765625,0.9857569932937622,0.0,38273.0,0.0,553.0,,,
2.0,7.0,30.0,346.35068583488464,0.07135852426290512,0.9842631220817566,0.0,38215.0,0.0,611.0,,,
3.0,7.0,30.0,439.97446513175964,0.07433293014764786,0.9856539368629456,0.0,38269.0,0.0,557.0,,,
4.0,7.0,30.0,409.8417627811432,683.4277954101562,0.9996652007102966,549.0,38264.0,8.0,5.0,,,
5.0,7.0,30.0,441.5599980354309,0.06654253602027893,0.9864524006843567,0.0,38300.0,0.0,526.0,,,
,,,,,,,,,,0.005160808563232422,1938.0454857349396,
1.0,8.0,30.0,367.16274094581604,0.2235911637544632,0.9997681975364685,535.0,38282.0,5.0,4.0,,,
2.0,8.0,30.0,326.9629340171814,3180073844736.0,0.9999227523803711,559.0,38264.0,2.0,1.0,,,
3.0,8.0,30.0,486.0922591686249,0.28279319405555725,0.9997424483299255,576.0,38240.0,5.0,5.0,,,
4.0,8.0,30.0,389.5458827018738,286472128.0,0.9996652007102966,531.0,38282.0,6.0,7.0,,,
5.0,8.0,30.0,451.9797189235687,5065.1845703125,0.9996393918991089,576.0,38236.0,10.0,4.0,,,
,,,,,,,,,,0.004503011703491211,2032.3689241409302,
1.0,9.0,30.0,372.84696412086487,44691759104.0,0.9997166991233826,540.0,38275.0,0.0,11.0,,,
2.0,9.0,30.0,498.6198818683624,1477996544.0,0.9998454451560974,536.0,38284.0,0.0,6.0,,,
3.0,9.0,30.0,305.81781816482544,2484.746826171875,0.9996909499168396,564.0,38250.0,6.0,6.0,,,
4.0,9.0,30.0,211.87562084197998,0.06621599197387695,0.9852418303489685,0.0,38253.0,0.0,573.0,,,
5.0,9.0,30.0,163.6404631137848,95098871808.0,0.9997681975364685,539.0,38278.0,2.0,7.0,,,
,,,,,,,,,,0.006082057952880859,1561.084093093872,
1.0,10.0,30.0,166.32083821296692,29740376064.0,0.9998711943626404,543.0,38278.0,2.0,3.0,,,
2.0,10.0,30.0,168.38595700263977,609.4058837890625,0.9997424483299255,554.0,38262.0,6.0,4.0,,,
3.0,10.0,30.0,168.57395577430725,2.383004665374756,0.9998711943626404,543.0,38278.0,0.0,5.0,,,
4.0,10.0,30.0,168.05303621292114,1408486604800.0,0.9999485015869141,598.0,38226.0,0.0,2.0,,,
5.0,10.0,30.0,166.5306670665741,0.07578568905591965,0.985499382019043,0.0,38263.0,0.0,563.0,,,
,,,,,,,,,,0.0025010108947753906,843.3129069805145,
