Node,FL Round,Epoch,Training Time,Loss,Accuracy,TP,TN,FP,FN,Aggregation Time,Round Time,Epsilon
1.0,1.0,30.0,163.74151825904846,0.06321727484464645,0.9866842031478882,0.0,38309.0,0.0,517.0,,,
2.0,1.0,30.0,171.8765251636505,0.07611165195703506,0.9854221343994141,0.0,38260.0,0.0,566.0,,,
3.0,1.0,30.0,170.34602212905884,0.07405111938714981,0.985962986946106,0.0,38281.0,0.0,545.0,,,
4.0,1.0,30.0,164.45782804489136,0.07300936430692673,0.9861690402030945,0.0,38289.0,0.0,537.0,,,
5.0,1.0,30.0,163.3933880329132,0.07324416935443878,0.9862720966339111,0.0,38293.0,0.0,533.0,,,
,,,,,,,,,,0.003677845001220703,838.9775350093842,3.20233162812017
1.0,2.0,30.0,162.96327114105225,0.07916242629289627,0.9849070310592651,0.0,38240.0,0.0,586.0,,,
2.0,2.0,30.0,166.9131257534027,0.07828603684902191,0.9849070310592651,0.0,38240.0,0.0,586.0,,,
3.0,2.0,30.0,171.16694021224976,0.07819925993680954,0.9851388335227966,0.0,38249.0,0.0,577.0,,,
4.0,2.0,30.0,171.98333621025085,0.07491425424814224,0.9857054352760315,0.0,38271.0,0.0,555.0,,,
5.0,2.0,30.0,166.31793093681335,0.040387555956840515,0.9859887957572937,0.0,38282.0,0.0,544.0,,,
,,,,,,,,,,0.001180887222290039,844.4581179618835,3.20233162812017
1.0,3.0,30.0,171.5395839214325,0.07592634111642838,0.9857827425003052,0.0,38274.0,0.0,552.0,,,
2.0,3.0,30.0,165.84508419036865,0.07766491174697876,0.9854736328125,0.0,38262.0,0.0,564.0,,,
3.0,3.0,30.0,161.40367698669434,0.07024603337049484,0.9848812818527222,0.0,38239.0,0.0,587.0,,,
4.0,3.0,30.0,162.0461709499359,0.3992747962474823,0.9841858744621277,0.0,38212.0,1.0,613.0,,,
5.0,3.0,30.0,161.4237937927246,0.0745508149266243,0.9861947894096375,0.0,38290.0,0.0,536.0,,,
,,,,,,,,,,0.0011723041534423828,827.2492818832397,3.20233162812017
1.0,4.0,30.0,162.1499137878418,141.6555633544922,0.9854221343994141,0.0,38260.0,0.0,566.0,,,
2.0,4.0,30.0,163.32571291923523,0.07730942964553833,0.9851645827293396,0.0,38250.0,0.0,576.0,,,
3.0,4.0,30.0,172.89538407325745,0.07661694288253784,0.9854736328125,0.0,38262.0,0.0,564.0,,,
4.0,4.0,30.0,165.16819500923157,0.07703223079442978,0.9853191375732422,0.0,38256.0,0.0,570.0,,,
5.0,4.0,30.0,165.93132281303406,0.07557543367147446,0.9855766892433167,0.0,38266.0,0.0,560.0,,,
,,,,,,,,,,0.0013628005981445312,835.6168758869171,3.20233162812017
1.0,5.0,30.0,179.2778570652008,0.06706003099679947,0.9849070310592651,0.0,38240.0,0.0,586.0,,,
2.0,5.0,30.0,169.69053602218628,0.07385575026273727,0.9859887957572937,0.0,38282.0,0.0,544.0,,,
3.0,5.0,30.0,163.4699101448059,0.07430487871170044,0.985885739326477,0.0,38278.0,0.0,548.0,,,
4.0,5.0,30.0,162.46053194999695,0.0762644112110138,0.985447883605957,0.0,38261.0,0.0,565.0,,,
5.0,5.0,30.0,163.818589925766,0.06980868428945541,0.9848039746284485,0.0,38236.0,0.0,590.0,,,
,,,,,,,,,,0.0015330314636230469,843.7882180213928,3.20233162812017
1.0,6.0,30.0,163.63940525054932,0.07311075925827026,0.9861690402030945,0.0,38289.0,0.0,537.0,,,
2.0,6.0,30.0,163.223482131958,0.08090987056493759,0.9843919277191162,0.0,38220.0,0.0,606.0,,,
3.0,6.0,30.0,162.6532919406891,0.07170704007148743,0.9865038990974426,0.0,38302.0,0.0,524.0,,,
4.0,6.0,30.0,163.37933373451233,0.08030596375465393,0.9844434261322021,0.0,38222.0,0.0,604.0,,,
5.0,6.0,30.0,163.2566647529602,0.042996879667043686,0.9847009778022766,0.0,38232.0,0.0,594.0,,,
,,,,,,,,,,0.0013082027435302734,821.1636657714844,3.20233162812017
1.0,7.0,30.0,167.07688808441162,0.07415026426315308,0.985885739326477,0.0,38278.0,0.0,548.0,,,
2.0,7.0,30.0,164.91834497451782,0.0792572870850563,0.9847009778022766,0.0,38232.0,0.0,594.0,,,
3.0,7.0,30.0,169.97212290763855,0.07832346856594086,0.9853706359863281,0.0,38258.0,0.0,568.0,,,
4.0,7.0,30.0,169.51976823806763,0.08990199118852615,0.9853963851928711,0.0,38259.0,1.0,566.0,,,
5.0,7.0,30.0,168.40035820007324,0.07503311336040497,0.9857569932937622,0.0,38273.0,0.0,553.0,,,
,,,,,,,,,,0.0018591880798339844,845.3657188415527,3.20233162812017
1.0,8.0,30.0,169.84627771377563,0.07715492695569992,0.9852160811424255,0.0,38252.0,0.0,574.0,,,
2.0,8.0,30.0,189.65653276443481,0.0782935842871666,0.9849327802658081,0.0,38241.0,0.0,585.0,,,
3.0,8.0,30.0,185.70882201194763,0.08044936507940292,0.9857054352760315,0.0,38271.0,0.0,555.0,,,
4.0,8.0,30.0,212.95262217521667,0.07349596172571182,0.9860660433769226,0.0,38285.0,0.0,541.0,,,
5.0,8.0,30.0,209.45776295661926,0.07549820840358734,0.9857569932937622,0.0,38273.0,0.0,553.0,,,
,,,,,,,,,,0.0016818046569824219,973.4886491298676,3.20233162812017
1.0,9.0,30.0,184.18248200416565,0.07583358883857727,0.985962986946106,0.0,38281.0,0.0,545.0,,,
2.0,9.0,30.0,164.91120719909668,0.07634605467319489,0.9854736328125,0.0,38262.0,0.0,564.0,,,
3.0,9.0,30.0,164.2324402332306,0.0770096629858017,0.9850873351097107,0.0,38247.0,0.0,579.0,,,
4.0,9.0,30.0,165.73338389396667,0.06943748146295547,0.9849585294723511,0.0,38242.0,0.0,584.0,,,
5.0,9.0,30.0,167.8420979976654,0.07735854387283325,0.9853963851928711,0.0,38259.0,0.0,567.0,,,
,,,,,,,,,,0.0015270709991455078,852.284764289856,3.20233162812017
1.0,10.0,30.0,173.11369919776917,0.07723065465688705,0.9857569932937622,0.0,38273.0,0.0,553.0,,,
2.0,10.0,30.0,174.08921718597412,0.07309255748987198,0.9862463474273682,0.0,38292.0,0.0,534.0,,,
3.0,10.0,30.0,176.27231407165527,0.07830314338207245,0.9851130843162537,0.0,38248.0,0.0,578.0,,,
4.0,10.0,30.0,172.38326501846313,0.06821677088737488,0.9856539368629456,0.0,38269.0,0.0,557.0,,,
5.0,10.0,30.0,194.693510055542,0.07546251267194748,0.9855766892433167,0.0,38266.0,0.0,560.0,,,
,,,,,,,,,,0.003014802932739258,896.1346230506897,3.20233162812017
