Node,FL Round,Epoch,Training Time,Loss,Accuracy,TP,TN,FP,FN,Aggregation Time,Round Time,Epsilon
1.0,1.0,30.0,168.44687509536743,,0.9860145449638367,0.0,38283.0,0.0,543.0,,,
2.0,1.0,30.0,168.80031776428223,,0.9853963851928711,0.0,38259.0,0.0,567.0,,,
3.0,1.0,30.0,167.68101811408997,,0.9857827425003052,0.0,38274.0,0.0,552.0,,,
4.0,1.0,30.0,170.8839659690857,,0.9857827425003052,0.0,38274.0,0.0,552.0,,,
5.0,1.0,30.0,175.33909606933594,,0.9855766892433167,0.0,38266.0,0.0,560.0,,,
,,,,,,,,,,0.005484104156494141,856.7062499523163,3.20233162812017
1.0,2.0,30.0,179.52654600143433,,0.9848812818527222,0.0,38239.0,0.0,587.0,,,
2.0,2.0,30.0,180.46704697608948,,0.9852418303489685,0.0,38253.0,0.0,573.0,,,
3.0,2.0,30.0,178.41917324066162,,0.9853191375732422,0.0,38256.0,0.0,570.0,,,
4.0,2.0,30.0,177.4833800792694,,0.9855251908302307,0.0,38264.0,0.0,562.0,,,
5.0,2.0,30.0,178.45046401023865,,0.985447883605957,0.0,38261.0,0.0,565.0,,,
,,,,,,,,,,0.002635955810546875,900.0836229324341,3.20233162812017
1.0,3.0,30.0,177.46962213516235,,0.9839798212051392,0.0,38204.0,0.0,622.0,,,
2.0,3.0,30.0,176.32035613059998,,0.9857311844825745,0.0,38272.0,0.0,554.0,,,
3.0,3.0,30.0,176.130028963089,,0.985447883605957,0.0,38261.0,0.0,565.0,,,
4.0,3.0,30.0,177.5364909172058,,0.9851645827293396,0.0,38250.0,0.0,576.0,,,
5.0,3.0,30.0,249.47149896621704,0.07321383059024811,0.9861175417900085,0.0,38287.0,0.0,539.0,,,
,,,,,,,,,,0.0037069320678710938,963.0443692207336,3.20233162812017
1.0,4.0,30.0,231.4599871635437,,0.9868902564048767,0.0,38317.0,0.0,509.0,,,
2.0,4.0,30.0,314.93003010749817,,0.9849327802658081,0.0,38241.0,0.0,585.0,,,
3.0,4.0,30.0,427.17027831077576,,0.9853963851928711,0.0,38259.0,0.0,567.0,,,
4.0,4.0,30.0,291.28706216812134,,0.9856539368629456,0.0,38269.0,0.0,557.0,,,
5.0,4.0,30.0,290.558109998703,,0.9852933883666992,0.0,38255.0,0.0,571.0,,,
,,,,,,,,,,0.07391715049743652,1566.4293630123138,3.20233162812017
1.0,5.0,30.0,178.78808426856995,,0.9858599901199341,0.0,38277.0,0.0,549.0,,,
