Node,FL Round,Epoch,Training Time,Loss,Accuracy,TP,TN,FP,FN,Aggregation Time,Round Time,Epsilon
1.0,1.0,30.0,191.89839601516724,0.07497809827327728,0.9857054352760315,0.0,38271.0,0.0,555.0,,,
2.0,1.0,30.0,191.42938709259033,0.0760699138045311,0.9854736328125,0.0,38262.0,0.0,564.0,,,
3.0,1.0,30.0,193.62395405769348,0.07511505484580994,0.9857827425003052,0.0,38274.0,0.0,552.0,,,
4.0,1.0,30.0,191.0421450138092,0.07641983032226562,0.9857054352760315,0.0,38271.0,0.0,555.0,,,
5.0,1.0,30.0,183.87474370002747,0.07269550859928131,0.9862978458404541,0.0,38294.0,0.0,532.0,,,
,,,,,,,,,,0.006788015365600586,957.5738141536713,3.20233162812017
1.0,2.0,30.0,180.37916803359985,0.06653188914060593,0.985937237739563,0.0,38280.0,0.0,546.0,,,
2.0,2.0,30.0,180.56633615493774,0.07717110961675644,0.9853448867797852,0.0,38257.0,0.0,569.0,,,
3.0,2.0,30.0,190.1872866153717,0.07810938358306885,0.9849585294723511,0.0,38242.0,0.0,584.0,,,
4.0,2.0,30.0,197.56353282928467,0.07495340704917908,0.9857054352760315,0.0,38271.0,0.0,555.0,,,
5.0,2.0,30.0,203.02572989463806,0.06745803356170654,0.9855766892433167,0.0,38266.0,0.0,560.0,,,
,,,,,,,,,,0.0026886463165283203,957.4830930233002,3.20233162812017
1.0,3.0,30.0,201.26720523834229,0.07796502113342285,0.9852160811424255,0.0,38252.0,0.0,574.0,,,
2.0,3.0,30.0,206.9300618171692,0.07543552666902542,0.9857569932937622,0.0,38273.0,0.0,553.0,,,
3.0,3.0,30.0,206.62777495384216,0.07501643896102905,0.985885739326477,0.0,38278.0,0.0,548.0,,,
4.0,3.0,30.0,198.8999879360199,0.07763123512268066,0.9852933883666992,0.0,38255.0,0.0,571.0,,,
5.0,3.0,30.0,199.29684400558472,0.07785467803478241,0.985010027885437,0.0,38244.0,0.0,582.0,,,
,,,,,,,,,,0.0030481815338134766,1019.4105749130249,3.20233162812017
1.0,4.0,30.0,176.28411102294922,0.07502947002649307,0.985885739326477,0.0,38278.0,0.0,548.0,,,
