Node,FL Round,Epoch,Training Time,Loss,Accuracy,TP,TN,FP,FN,Aggregation Time,Round Time,Epsilon
1.0,1.0,30.0,148.08685612678528,,0.9853706359863281,0.0,38258.0,0.0,568.0,,,
2.0,1.0,30.0,126.5918321609497,,0.9844949245452881,0.0,38224.0,0.0,602.0,,,
3.0,1.0,30.0,138.66445922851562,,0.9861947894096375,0.0,38290.0,0.0,536.0,,,
4.0,1.0,30.0,201.34681820869446,,0.985010027885437,0.0,38244.0,0.0,582.0,,,
5.0,1.0,30.0,161.7660448551178,,0.986426591873169,0.0,38299.0,0.0,527.0,,,
,,,,,,,,,,0.00797891616821289,781.8061382770538,
1.0,2.0,30.0,164.48279309272766,,0.9865811467170715,0.0,38305.0,0.0,521.0,,,
2.0,2.0,30.0,181.6080241203308,,0.9866842031478882,0.0,38309.0,0.0,517.0,,,
3.0,2.0,30.0,189.54080319404602,,0.9860145449638367,0.0,38283.0,0.0,543.0,,,
4.0,2.0,30.0,173.08427023887634,,0.9856281876564026,0.0,38268.0,0.0,558.0,,,
5.0,2.0,30.0,180.02382016181946,,0.9864524006843567,0.0,38300.0,0.0,526.0,,,
,,,,,,,,,,0.003197908401489258,895.2608749866486,
1.0,3.0,30.0,155.9954388141632,,0.9852160811424255,0.0,38252.0,0.0,574.0,,,
2.0,3.0,30.0,222.59797930717468,,0.9849070310592651,0.0,38240.0,0.0,586.0,,,
3.0,3.0,30.0,177.07645106315613,,0.9843403697013855,0.0,38218.0,0.0,608.0,,,
4.0,3.0,30.0,273.78779697418213,,0.9862463474273682,0.0,38292.0,0.0,534.0,,,
5.0,3.0,30.0,186.95947909355164,,0.9856024384498596,0.0,38267.0,0.0,559.0,,,
,,,,,,,,,,0.002744913101196289,1023.634360074997,
1.0,4.0,30.0,168.99164175987244,,0.9855251908302307,0.0,38264.0,0.0,562.0,,,
2.0,4.0,30.0,226.0338318347931,,0.9848812818527222,0.0,38239.0,0.0,587.0,,,
3.0,4.0,30.0,191.83401083946228,,0.9854221343994141,0.0,38260.0,0.0,566.0,,,
4.0,4.0,30.0,168.5715639591217,,0.9866584539413452,0.0,38308.0,0.0,518.0,,,
5.0,4.0,30.0,167.65379405021667,,0.9843661189079285,0.0,38219.0,0.0,607.0,,,
,,,,,,,,,,0.002936124801635742,929.2559058666229,
1.0,5.0,30.0,168.94799089431763,,0.9852418303489685,0.0,38253.0,0.0,573.0,,,
2.0,5.0,30.0,168.11324501037598,,0.9857569932937622,0.0,38273.0,0.0,553.0,,,
3.0,5.0,30.0,167.76723504066467,,0.9851130843162537,0.0,38248.0,0.0,578.0,,,
4.0,5.0,30.0,172.6761758327484,,0.9851903319358826,0.0,38251.0,0.0,575.0,,,
5.0,5.0,30.0,160.50892686843872,,0.9857569932937622,0.0,38273.0,0.0,553.0,,,
,,,,,,,,,,0.002858400344848633,844.234053850174,
1.0,6.0,30.0,256.51861906051636,,0.9852675795555115,0.0,38254.0,0.0,572.0,,,
2.0,6.0,30.0,173.83872938156128,,0.9866842031478882,0.0,38309.0,0.0,517.0,,,
3.0,6.0,30.0,227.51175808906555,,0.9847267270088196,0.0,38233.0,0.0,593.0,,,
4.0,6.0,30.0,164.40808010101318,,0.9860145449638367,0.0,38283.0,0.0,543.0,,,
5.0,6.0,30.0,154.17755389213562,,0.9853706359863281,0.0,38258.0,0.0,568.0,,,
,,,,,,,,,,0.003837108612060547,983.6238739490509,
1.0,7.0,30.0,176.4768989086151,,0.98503577709198,0.0,38245.0,0.0,581.0,,,
2.0,7.0,30.0,239.3114652633667,,0.9865038990974426,0.0,38302.0,0.0,524.0,,,
3.0,7.0,30.0,210.11181592941284,,0.9843403697013855,0.0,38218.0,0.0,608.0,,,
4.0,7.0,30.0,202.1635320186615,,0.9861947894096375,0.0,38290.0,0.0,536.0,,,
5.0,7.0,30.0,211.1151101589203,,0.9858084917068481,0.0,38275.0,0.0,551.0,,,
,,,,,,,,,,0.003758668899536133,1046.5675020217896,
1.0,8.0,30.0,161.21610116958618,,0.9860917925834656,0.0,38286.0,0.0,540.0,,,
2.0,8.0,30.0,264.3242769241333,,0.9852160811424255,0.0,38252.0,0.0,574.0,,,
3.0,8.0,30.0,263.0891683101654,,0.9839283227920532,0.0,38202.0,0.0,624.0,,,
4.0,8.0,30.0,179.10823512077332,,0.9860145449638367,0.0,38283.0,0.0,543.0,,,
5.0,8.0,30.0,173.99050211906433,,0.984984278678894,0.0,38243.0,0.0,583.0,,,
,,,,,,,,,,0.007531642913818359,1048.5692028999329,
1.0,9.0,30.0,148.85405707359314,,0.9856796860694885,0.0,38270.0,0.0,556.0,,,
2.0,9.0,30.0,174.04218006134033,,0.9853963851928711,0.0,38259.0,0.0,567.0,,,
3.0,9.0,30.0,162.71894192695618,,0.9865038990974426,0.0,38302.0,0.0,524.0,,,
4.0,9.0,30.0,169.24107694625854,,0.9855766892433167,0.0,38266.0,0.0,560.0,,,
5.0,9.0,30.0,183.4403510093689,,0.9854736328125,0.0,38262.0,0.0,564.0,,,
,,,,,,,,,,0.0033249855041503906,844.1883330345154,
1.0,10.0,30.0,164.66471695899963,,0.9857827425003052,0.0,38274.0,0.0,552.0,,,
2.0,10.0,30.0,204.64081406593323,,0.9855509400367737,0.0,38265.0,0.0,561.0,,,
3.0,10.0,30.0,163.06930112838745,,0.984984278678894,0.0,38243.0,0.0,583.0,,,
4.0,10.0,30.0,197.18303275108337,,0.9856796860694885,0.0,38270.0,0.0,556.0,,,
5.0,10.0,30.0,230.94205689430237,,0.9862720966339111,0.0,38293.0,0.0,533.0,,,
,,,,,,,,,,0.007009029388427734,967.4219551086426,
