FL round,Epoch,Client 1 Epoch Time (seconds),Client 1 Training Loss,Client 1 Training Accuracy,Client 1 True Positives,Client 1 True Negatives,Client 1 False Positives,Client 1 False Negatives,Client 2 Epoch Time (seconds),Client 2 Training Loss,Client 2 Training Accuracy,Client 2 True Positives,Client 2 True Negatives,Client 2 False Positives,Client 2 False Negatives,Client 3 Epoch Time (seconds),Client 3 Training Loss,Client 3 Training Accuracy,Client 3 True Positives,Client 3 True Negatives,Client 3 False Positives,Client 3 False Negatives,Client 4 Epoch Time (seconds),Client 4 Training Loss,Client 4 Training Accuracy,Client 4 True Positives,Client 4 True Negatives,Client 4 False Positives,Client 4 False Negatives,Client 5 Epoch Time (seconds),Client 5 Training Loss,Client 5 Training Accuracy,Client 5 True Positives,Client 5 True Negatives,Client 5 False Positives,Client 5 False Negatives,Server Aggregation Time (seconds),FL Round Time (seconds)
1,1,6.022555112838745,4.640937773132227e+28,0.9912687540054321,349.0,38138.0,105.0,234.0,6.0975658893585205,2.641281259781175e+27,0.9898779392242432,320.0,38113.0,144.0,249.0,6.6560587882995605,1.6791058000525632e+24,0.9832586646080017,333.0,37843.0,398.0,252.0,7.064160108566284,4.874048599151513e+27,0.9865038990974426,328.0,37974.0,275.0,249.0,7.379050016403198,1.6700710171508244e+25,0.9906248450279236,299.0,38163.0,117.0,247.0,0.0009279251098632812,
1,2,7.710707902908325,8.583864924993431e+25,0.9865553975105286,335.0,37969.0,294.0,228.0,8.365971088409424,1.2238933348178114e+24,0.9888991713523865,327.0,38068.0,188.0,243.0,8.100007057189941,2.7806866989471077e+27,0.9902642369270325,307.0,38141.0,147.0,231.0,7.989410877227783,7.350871675279322e+27,0.9896976351737976,314.0,38112.0,167.0,233.0,8.107071876525879,1.5160531879694016e+27,0.9910884499549866,282.0,38198.0,95.0,251.0,3.719329833984375e-05,
1,3,8.734130144119263,4.162448136544697e+24,0.9859887957572937,281.0,38001.0,303.0,241.0,8.18951678276062,4.85749417493913e+21,0.9907535910606384,345.0,38122.0,102.0,257.0,7.972012996673584,2.8368741506359803e+23,0.98634934425354,306.0,37990.0,275.0,255.0,6.90327000617981,2.0075604857073838e+27,0.9898521900177002,333.0,38099.0,161.0,233.0,7.325337171554565,7.294927570444196e+27,0.9892340302467346,343.0,38065.0,204.0,214.0,3.600120544433594e-05,
1,4,7.481809854507446,1.7908985771064391e+28,0.9887704253196716,317.0,38073.0,192.0,244.0,7.899871110916138,8.8854324077909e+27,0.990006685256958,365.0,38073.0,156.0,232.0,9.584743976593018,1001595231797248.0,0.9805285334587097,346.0,37724.0,555.0,201.0,9.355508804321289,1.0884957934501633e+28,0.9898263812065125,308.0,38123.0,123.0,272.0,10.567718982696533,3.4760695773743135e+24,0.987302303314209,331.0,38002.0,241.0,252.0,6.318092346191406e-05,
1,5,11.258052110671997,5.335807768894086e+24,0.988229513168335,357.0,38012.0,224.0,233.0,11.079597234725952,7.801684150735759e+20,0.9889764785766602,335.0,38063.0,174.0,254.0,11.3974289894104,2.501121127421699e+27,0.9907535910606384,324.0,38143.0,131.0,228.0,12.273478984832764,1.7993616407608543e+26,0.9898263812065125,289.0,38142.0,180.0,215.0,13.101722002029419,1.0707307393497414e+24,0.9907278418540955,323.0,38143.0,119.0,241.0,5.1021575927734375e-05,
1,6,13.326292991638184,3.0015960091668326e+23,0.9893112778663635,324.0,38087.0,156.0,259.0,13.716624021530151,9.418814847593871e+27,0.987765908241272,327.0,38024.0,218.0,257.0,14.485405921936035,3.8513118180048905e+27,0.9884355664253235,359.0,38018.0,220.0,229.0,14.213421106338501,1.8299704788467637e+24,0.9910627007484436,332.0,38147.0,91.0,256.0,14.116472959518433,9.232227064305967e+27,0.9906505942344666,334.0,38129.0,127.0,236.0,4.9114227294921875e-05,
1,7,14.050599098205566,8.885711617709199e+27,0.990470290184021,318.0,38138.0,151.0,219.0,14.251904010772705,3.8149104004449865e+28,0.9903930425643921,307.0,38146.0,98.0,275.0,14.057600021362305,2.69035293787792e+25,0.983232855796814,323.0,37852.0,439.0,212.0,13.179515838623047,2.7508870907006743e+28,0.991809606552124,304.0,38204.0,90.0,228.0,13.181977987289429,1.3817358117098226e+19,0.9910112023353577,332.0,38145.0,102.0,247.0,4.935264587402344e-05,
1,8,13.390499114990234,1.8042665340869845e+28,0.9905217885971069,317.0,38141.0,95.0,273.0,13.965605974197388,2.4286143920590642e+26,0.989594578742981,310.0,38112.0,139.0,265.0,14.693658828735352,2.1310020018714638e+25,0.9915005564689636,296.0,38200.0,47.0,283.0,16.677906036376953,1.0535252529345688e+28,0.9888219237327576,316.0,38076.0,184.0,250.0,16.30945110321045,3.9225152908987176e+26,0.9918868541717529,268.0,38243.0,84.0,231.0,5.7697296142578125e-05,
1,9,16.24505090713501,2.341202881175685e+25,0.9913202524185181,302.0,38187.0,103.0,234.0,12.947975158691406,5.155510200819794e+27,0.9879204630851746,341.0,38016.0,251.0,218.0,12.312611818313599,7.563113876959527e+19,0.9893112778663635,314.0,38097.0,207.0,208.0,12.401314735412598,8.762673826985917e+25,0.9878689646720886,319.0,38036.0,244.0,227.0,13.764505863189697,1.4949155214145908e+28,0.9902899861335754,318.0,38131.0,139.0,238.0,5.0067901611328125e-05,
1,10,14.11046290397644,5.147115486041521e+28,0.990908145904541,331.0,38142.0,117.0,236.0,15.144359111785889,9.591463900773718e+20,0.9907278418540955,304.0,38162.0,113.0,247.0,16.286073923110962,4.6897160410070845e+28,0.990882396697998,325.0,38147.0,94.0,260.0,16.420754194259644,5.291910321871939e+19,0.9782362580299377,345.0,37636.0,613.0,232.0,17.409555196762085,5.528401199257721e+19,0.990882396697998,326.0,38146.0,132.0,222.0,5.5789947509765625e-05,
