FL Round,Convergence Time (s),Aggregation Time (s),FL Round Time (s),Accuracy,Loss,TP,TN,FP,FN
1,305.12,,,0.924836277961731,2.4986811751073297e+29,76722.0,372114.0,10177.0,26301.0
1,363.68,,,0.9190524220466614,3.0690982782037253e+29,72923.0,373106.0,9796.0,29489.0
1,516.73,,,0.9577593207359314,3.060106467407358e+28,95171.0,369643.0,12745.0,7755.0
1,569.34,,,0.9295116066932678,1.9765725588680754e+29,78476.0,372629.0,10223.0,23986.0
1,512.04,,,0.9262009859085083,2.4498158267945285e+29,77149.0,372353.0,10291.0,25525.0
1,,6.699562072753906e-05,2481.176914215088,,,,,,
2,475.48,,,0.9576748013496399,1.950196867022298e+28,95942.0,368831.0,13460.0,7081.0
2,489.81,,,0.908065676689148,5.295753576694447e+29,67360.0,373337.0,9565.0,35052.0
2,526.93,,,0.9459607601165771,1.14794958466719e+29,87731.0,371357.0,11031.0,15195.0
2,594.07,,,0.9372941851615906,1.5885392939692037e+29,82563.0,372319.0,10533.0,19899.0
2,418.73,,,0.957671046257019,9.742120453223144e+27,96466.0,368309.0,14335.0,6208.0
2,,6.103515625e-05,2720.3129370212555,,,,,,
3,472.38,,,0.9554020762443542,7.832940172524459e+28,93056.0,370614.0,11677.0,9967.0
3,605.05,,,0.9584619402885437,2.4457811313188943e+28,95269.0,369886.0,13016.0,7143.0
3,519.68,,,0.928058922290802,2.0642302588910577e+29,78313.0,372087.0,10301.0,24613.0
3,535.5,,,0.9299361109733582,1.9281873807792524e+29,78738.0,372573.0,10279.0,23724.0
3,450.01,,,0.9326812624931335,1.776265828710787e+29,80708.0,371939.0,10705.0,21966.0
3,,5.078315734863281e-05,2817.3243329524994,,,,,,
4,571.65,,,0.9560222625732422,6.368265151297058e+28,93630.0,370341.0,11950.0,9393.0
4,570.84,,,0.9241089224815369,2.6835079879337716e+29,75570.0,372913.0,9989.0,26842.0
4,747.52,,,0.9410608410835266,1.2544901393085749e+29,85241.0,371469.0,10919.0,17685.0
4,670.85,,,0.9558306336402893,8.098133162629673e+28,92434.0,371444.0,11408.0,10028.0
4,581.52,,,0.9375935196876526,1.567216203694443e+29,83249.0,371782.0,10862.0,19425.0
4,,9.083747863769531e-05,3462.129991054535,,,,,,
5,492.12,,,0.9229509234428406,2.615265447679141e+29,76288.0,371633.0,10658.0,26735.0
5,572.97,,,0.9162480235099792,3.648534723493083e+29,71324.0,373344.0,9558.0,31088.0
5,674.76,,,0.9265959858894348,2.234072247288717e+29,77477.0,372213.0,10175.0,25449.0
5,609.21,,,0.944260835647583,1.1815781230756828e+29,86332.0,371931.0,10921.0,16130.0
5,761.43,,,0.9180042743682861,3.3591805953042335e+29,72732.0,372792.0,9852.0,29942.0
5,,0.0006642341613769531,3390.4744141101837,,,,,,
6,580.6,,,0.9171381592750549,3.297103387834978e+29,72625.0,372475.0,9816.0,30398.0
6,476.91,,,0.9144327044487,4.00141563676677e+29,70310.0,373477.0,9425.0,32102.0
6,563.66,,,0.9390991926193237,1.35176248304335e+29,84201.0,371557.0,10831.0,18725.0
6,683.65,,,0.9573904871940613,4.802184393399756e+28,93891.0,370744.0,12108.0,8571.0
6,750.71,,,0.5768609642982483,1.4543006469737367e+31,102674.0,177287.0,205357.0,0.0
6,,0.00022029876708984375,3334.7705919742584,,,,,,
7,618.1,,,0.576694667339325,2.016549015639637e+30,102977.0,176901.0,205390.0,46.0
7,371.15,,,0.9371252655982971,1.5970518317912245e+29,82571.0,372229.0,10673.0,19841.0
7,407.87,,,0.9447100162506104,1.1764452884981221e+29,87083.0,371398.0,10990.0,15843.0
7,421.01,,,0.5761053562164307,3.3299257238375153e+30,102426.0,177166.0,205686.0,36.0
7,416.1,,,0.924288809299469,2.755716371560716e+29,76071.0,372503.0,10141.0,26603.0
7,,5.316734313964844e-05,2434.476840019226,,,,,,
8,416.77,,,0.915283739566803,3.71433315575084e+29,71561.0,372639.0,9652.0,31462.0
8,421.95,,,0.9574440717697144,1.9284823929163953e+27,98601.0,366060.0,16842.0,3811.0
8,417.07,,,0.9572874307632446,4.30182133034082e+28,94497.0,370088.0,12300.0,8429.0
8,416.0,,,0.8968296647071838,8.971820074571979e+29,60702.0,374542.0,8310.0,41760.0
8,415.69,,,0.9542506337165833,1.0659358681698743e+29,91832.0,371283.0,11361.0,10842.0
8,,4.076957702636719e-05,2278.9712178707123,,,,,,
9,417.89,,,0.5767111778259277,1.38978157557616e+30,102985.0,176901.0,205390.0,38.0
9,411.69,,,0.9575182199478149,3.095102272583636e+28,94738.0,369959.0,12943.0,7674.0
9,412.21,,,0.9570793509483337,4.8422064493420765e+28,94248.0,370236.0,12152.0,8678.0
9,411.45,,,0.9420519471168518,1.2074549913498746e+29,85231.0,371960.0,10892.0,17231.0
9,413.42,,,0.9410572052001953,1.3213393925560996e+29,85174.0,371538.0,11106.0,17500.0
9,,3.790855407714844e-05,2254.9981939792633,,,,,,
10,414.15,,,0.9119085669517517,4.5419641496483335e+29,69653.0,372909.0,9382.0,33370.0
10,414.72,,,0.9142328500747681,3.90221496190238e+29,70750.0,372940.0,9962.0,31662.0
10,410.32,,,0.921430230140686,2.7481860859671322e+29,75120.0,372063.0,10325.0,27806.0
10,411.53,,,0.9304533004760742,1.8307413484052372e+29,79054.0,372508.0,10344.0,23408.0
10,411.45,,,0.9266130924224854,2.400815418800317e+29,77381.0,372321.0,10323.0,25293.0
10,,3.790855407714844e-05,2248.821299314499,,,,,,
