FL Round,Convergence Time (s),Aggregation Time (s),FL Round Time (s),Accuracy,Loss,TP,TN,FP,FN
1,283.74,,,0.91805100440979,3.1351619185631598e+29,73128.0,372415.0,9876.0,29895.0
1,319.24,,,0.9133324027061462,4.307346026889129e+29,69691.0,373562.0,9340.0,32721.0
1,334.47,,,0.954804539680481,8.94812040614105e+28,92346.0,371034.0,11354.0,10580.0
1,334.82,,,0.9245849251747131,2.6304884682733196e+29,75739.0,372975.0,9877.0,26723.0
1,351.8,,,0.909694254398346,5.321935887632751e+29,68097.0,373394.0,9250.0,34577.0
1,,2.9087066650390625e-05,1786.1236879825592,,,,,,
2,575.3,,,0.925940752029419,2.3352874836946993e+29,77342.0,372030.0,10261.0,25681.0
2,590.61,,,0.9223822355270386,2.716590242987526e+29,74692.0,372953.0,9949.0,27720.0
2,515.95,,,0.9412091970443726,1.2212235230673293e+29,85345.0,371437.0,10951.0,17581.0
2,626.86,,,0.5758931040763855,3.442850275721898e+30,102323.0,177166.0,205686.0,139.0
2,688.91,,,0.9581140875816345,1.537141033557818e+28,96137.0,368853.0,13791.0,6537.0
2,,1.52587890625e-05,3237.903298854828,,,,,,
3,526.58,,,0.899836003780365,7.624703455674476e+29,63079.0,373624.0,8667.0,39944.0
3,451.65,,,0.9550600051879883,8.685256487185187e+28,92069.0,371435.0,11467.0,10343.0
3,461.12,,,0.9584784507751465,3.177926854823809e+27,98416.0,366747.0,15641.0,4510.0
3,471.67,,,0.9550558924674988,9.648465300543253e+28,91833.0,371669.0,11183.0,10629.0
3,467.3,,,0.9107451438903809,5.203838568839828e+29,68640.0,373361.0,9283.0,34034.0
3,,1.5974044799804688e-05,2586.0644879341125,,,,,,
4,481.37,,,0.95646733045578,5.713365478506103e+28,93968.0,370219.0,12072.0,9055.0
4,484.02,,,0.9189741015434265,3.059665067812204e+29,72891.0,373100.0,9802.0,29521.0
4,485.26,,,0.9175853133201599,3.177701184735509e+29,72636.0,372681.0,9707.0,30290.0
4,474.33,,,0.9006725549697876,7.380103005749123e+29,62816.0,374293.0,8559.0,39646.0
4,464.12,,,0.9545637965202332,8.034396326683678e+28,92897.0,370370.0,12274.0,9777.0
4,,1.4781951904296875e-05,2603.0519297122955,,,,,,
5,477.26,,,0.9564302563667297,5.185052144945006e+28,94093.0,370076.0,12215.0,8930.0
5,510.52,,,0.9392228722572327,1.3891675923755233e+29,83765.0,372053.0,10849.0,18647.0
5,498.54,,,0.9279682636260986,2.0873245199388834e+29,78251.0,372105.0,10283.0,24675.0
5,490.17,,,0.9073712825775146,5.389435882981615e+29,66453.0,373907.0,8945.0,36009.0
5,482.27,,,0.926328718662262,2.333620299431587e+29,77837.0,371727.0,10917.0,24837.0
5,,1.3828277587890625e-05,2677.4524381160736,,,,,,
6,479.11,,,0.918708324432373,3.0239874001394647e+29,73490.0,372372.0,9919.0,29533.0
6,490.28,,,0.9249681830406189,2.4940513670075243e+29,76079.0,372821.0,10081.0,26333.0
6,489.89,,,0.9448665976524353,1.175940845310422e+29,87175.0,371382.0,11006.0,15751.0
6,496.63,,,0.5761774778366089,1.7050839364414907e+30,102461.0,177166.0,205686.0,1.0
6,477.76,,,0.9461590051651001,1.1818987717598696e+29,87793.0,371395.0,11249.0,14881.0
6,,1.4066696166992188e-05,2650.778548002243,,,,,,
7,467.06,,,0.9058980345726013,5.751563567618079e+29,66401.0,373244.0,9047.0,36622.0
7,480.83,,,0.9288811087608337,2.0392011498478706e+29,78234.0,372565.0,10337.0,24178.0
7,482.65,,,0.9148798584938049,3.694918562666466e+29,71158.0,372846.0,9542.0,31768.0
7,478.12,,,0.955365002155304,8.778595005192402e+28,92103.0,371549.0,11303.0,10359.0
7,497.35,,,0.9296770095825195,2.0185266293858673e+29,79085.0,372104.0,10540.0,23589.0
7,,2.193450927734375e-05,2619.8133120536804,,,,,,
8,486.55,,,0.9362515807151794,1.694456118445531e+29,82772.0,371604.0,10687.0,20251.0
8,505.54,,,0.9233712553977966,2.7492159396497164e+29,75181.0,372944.0,9958.0,27231.0
8,474.34,,,0.576748251914978,2.4759970043648764e+29,102926.0,176978.0,205410.0,0.0
8,457.95,,,0.5760889053344727,1.2421376564046734e+30,102418.0,177166.0,205686.0,44.0
8,456.14,,,0.9258486032485962,2.5005408430282838e+29,76964.0,372367.0,10277.0,25710.0
8,,1.4066696166992188e-05,2589.1906938552856,,,,,,
9,454.64,,,0.9577448964118958,2.036512989951162e+28,95927.0,368880.0,13411.0,7096.0
9,457.12,,,0.9323098063468933,1.7553806907036476e+29,80088.0,372375.0,10527.0,22324.0
9,466.52,,,0.8883794546127319,1.2017952728990872e+30,56793.0,374350.0,8038.0,46133.0
9,458.43,,,0.9419942498207092,1.2281312118638117e+29,85171.0,371992.0,10860.0,17291.0
9,457.94,,,0.9159169793128967,3.7938090725002614e+29,71561.0,372950.0,9694.0,31113.0
9,,1.4781951904296875e-05,2499.2424590587616,,,,,,
10,465.85,,,0.9239956140518188,2.595134754941305e+29,76256.0,372172.0,10119.0,26767.0
10,468.19,,,0.9267051815986633,2.284520532846576e+29,77046.0,372697.0,10205.0,25366.0
10,471.36,,,0.9398038983345032,1.284167095891532e+29,85030.0,371070.0,11318.0,17896.0
10,467.4,,,0.9035758376121521,6.719058589690657e+29,64337.0,374181.0,8671.0,38125.0
10,416.21,,,0.9226362705230713,2.8478850649427948e+29,75230.0,372542.0,10102.0,27444.0
10,,1.1920928955078125e-05,2489.967943906784,,,,,,
