FL Round,Convergence Time (s),Aggregation Time (s),FL Round Time (s),Accuracy,Loss,TP,TN,FP,FN
1,311.65,,,0.9893326759338379,20089904562176.0,100562.0,379575.0,2716.0,2461.0
1,372.22,,,0.990830659866333,31868535701504.0,100188.0,380676.0,2226.0,2224.0
1,527.75,,,0.9906555414199829,55345695162368.0,100461.0,380318.0,2070.0,2465.0
1,576.55,,,0.9914302825927734,125090284961792.0,99341.0,381814.0,1038.0,3121.0
1,516.16,,,0.9910821318626404,133503052152832.0,100054.0,380936.0,1708.0,2620.0
1,,9.083747863769531e-05,2513.3341710567474,,,,,,
2,467.31,,,0.991584837436676,200469142044672.0,100445.0,380785.0,1506.0,2578.0
2,507.59,,,0.9924420118331909,166554150895616.0,99922.0,381724.0,1178.0,2490.0
2,533.51,,,0.9903711676597595,26708312850432.0,100392.0,380249.0,2139.0,2534.0
2,589.49,,,0.9921823740005493,226240137003008.0,100019.0,381501.0,1351.0,2443.0
2,423.03,,,0.9918568730354309,192123450163200.0,99911.0,381455.0,1189.0,2763.0
2,,5.8650970458984375e-05,2737.8534059524536,,,,,,
3,486.05,,,0.9909728765487671,145185296089088.0,100466.0,380467.0,1824.0,2557.0
3,593.68,,,0.9915745258331299,146144030097408.0,99973.0,381252.0,1650.0,2439.0
3,544.6,,,0.9912324547767639,145611152162816.0,100532.0,380527.0,1861.0,2394.0
3,535.35,,,0.9917846918106079,113306069106688.0,99762.0,381565.0,1287.0,2700.0
3,450.63,,,0.9893966317176819,16820083884032.0,100066.0,380106.0,2538.0,2608.0
3,,0.00010800361633300781,2835.0290019512177,,,,,,
4,577.22,,,0.9919371604919434,217117173481472.0,100241.0,381160.0,1131.0,2782.0
4,635.6,,,0.9913622736930847,86225964761088.0,100066.0,381056.0,1846.0,2346.0
4,744.13,,,0.990016758441925,23667039797248.0,100592.0,379877.0,2511.0,2334.0
4,762.71,,,0.9904680252075195,34201860571136.0,100026.0,380662.0,2190.0,2436.0
4,527.95,,,0.9912675619125366,115482787053568.0,99946.0,381134.0,1510.0,2728.0
4,,0.00010228157043457031,3484.4243330955505,,,,,,
5,550.03,,,0.9910387992858887,53281225179136.0,100282.0,380683.0,1608.0,2741.0
5,582.93,,,0.9902970194816589,44125835493376.0,100124.0,380481.0,2421.0,2288.0
5,598.31,,,0.9911850690841675,43294260199424.0,100244.0,380792.0,1596.0,2682.0
5,696.56,,,0.9910799860954285,142993403150336.0,100078.0,380907.0,1945.0,2384.0
5,759.15,,,0.9918816089630127,218586371063808.0,100108.0,381270.0,1374.0,2566.0
5,,0.00017404556274414062,3437.8875567913055,,,,,,
6,572.9,,,0.9889349937438965,8150187507712.0,100321.0,379623.0,2668.0,2702.0
6,471.26,,,0.9917476177215576,84421105418240.0,99891.0,381418.0,1484.0,2521.0
6,590.02,,,0.9914076328277588,111113614131200.0,100337.0,380807.0,1581.0,2589.0
6,724.07,,,0.9902867078781128,183040181534720.0,99960.0,380640.0,2212.0,2502.0
6,779.94,,,0.9919413924217224,333814656139264.0,99952.0,381455.0,1189.0,2722.0
6,,7.677078247070312e-05,3387.3903551101685,,,,,,
7,531.35,,,0.9913808107376099,104748799754240.0,100153.0,380978.0,1313.0,2870.0
7,382.01,,,0.9902290105819702,51188909211648.0,100132.0,380440.0,2462.0,2280.0
7,417.53,,,0.9902846217155457,41080099700736.0,100691.0,379908.0,2480.0,2235.0
7,427.16,,,0.9917640686035156,100908268519424.0,99886.0,381431.0,1421.0,2576.0
7,421.31,,,0.9902950525283813,70748488073216.0,100203.0,380405.0,2239.0,2471.0
7,,5.507469177246094e-05,2365.9171147346497,,,,,,
8,423.12,,,0.9910202622413635,148506161446912.0,100421.0,380535.0,1756.0,2602.0
8,421.87,,,0.9914014339447021,72332307595264.0,99935.0,381206.0,1696.0,2477.0
8,423.28,,,0.991137683391571,111826956189696.0,100479.0,380534.0,1854.0,2447.0
8,418.15,,,0.9921947717666626,148239756034048.0,99854.0,381672.0,1180.0,2608.0
8,417.68,,,0.7476643919944763,708793084149760.0,101741.0,261114.0,121530.0,933.0
8,,4.029273986816406e-05,2291.895404100418,,,,,,
9,419.81,,,0.991269588470459,94557765107712.0,100380.0,380697.0,1594.0,2643.0
9,417.6,,,0.9913107752799988,59586866315264.0,99865.0,381232.0,1670.0,2547.0
9,414.46,,,0.9912077784538269,128358318866432.0,100445.0,380602.0,1786.0,2481.0
9,417.78,,,0.9909852147102356,65654640082944.0,99473.0,381466.0,1386.0,2989.0
9,416.01,,,0.9908905029296875,185769012494336.0,99328.0,381569.0,1075.0,3346.0
9,,3.910064697265625e-05,2272.232295036316,,,,,,
10,417.15,,,0.9900106191635132,34577678598144.0,100480.0,379986.0,2305.0,2543.0
10,409.93,,,0.990350604057312,45960205959168.0,100138.0,380493.0,2409.0,2274.0
10,414.61,,,0.989604651927948,16093257138176.0,100627.0,379642.0,2746.0,2299.0
10,410.11,,,0.9889988899230957,5056739934208.0,100166.0,379809.0,3043.0,2296.0
10,385.52,,,0.9909008145332336,103323734638592.0,100147.0,380755.0,1889.0,2527.0
10,,3.600120544433594e-05,2216.5055570602417,,,,,,
