FL Round,Convergence Time (s),Aggregation Time (s),FL Round Time (s),Accuracy,Loss,TP,TN,FP,FN
1,283.09,,,0.9249083995819092,2.595300491115388e+30,76763.0,372108.0,10183.0,26260.0
1,318.35,,,0.9134045243263245,4.5013165123732946e+30,69713.0,373575.0,9327.0,32699.0
1,409.48,,,0.9580374956130981,1.942858451178913e+29,95976.0,368973.0,13415.0,6950.0
1,442.43,,,0.9422847628593445,1.2371367836361101e+30,85362.0,371942.0,10910.0,17100.0
1,447.35,,,0.9123893976211548,4.885180381014975e+30,69569.0,373230.0,9414.0,33105.0
1,,0.000186920166015625,2076.945697784424,,,,,,
2,431.4,,,0.954664409160614,9.668660028570596e+29,92478.0,370834.0,11457.0,10545.0
2,425.1,,,0.9560717344284058,7.128790750788996e+29,92868.0,371127.0,11775.0,9544.0
2,419.64,,,0.9264394044876099,2.3413287504678366e+30,77394.0,372220.0,10168.0,25532.0
2,418.47,,,0.9190379977226257,3.1325867176727213e+30,72888.0,373134.0,9718.0,29574.0
2,413.93,,,0.9393634796142578,1.4658592774045087e+30,84269.0,371621.0,11023.0,18405.0
2,,8.320808410644531e-05,2300.1723721027374,,,,,,
3,417.31,,,0.9160770177841187,3.707665476508483e+30,72016.0,372569.0,9722.0,31007.0
3,417.46,,,0.9333174228668213,1.7757944609779327e+30,80632.0,372320.0,10582.0,21780.0
3,415.24,,,0.9268700480461121,2.2892211764436245e+30,77641.0,372182.0,10206.0,25285.0
3,416.88,,,0.9551135897636414,9.777053073135881e+29,91898.0,371632.0,11220.0,10564.0
3,415.5,,,0.9449865818023682,1.2781306270427412e+30,87182.0,371437.0,11207.0,15492.0
3,,8.702278137207031e-05,2268.492928981781,,,,,,
4,418.09,,,0.9234330654144287,2.822159047943532e+30,75943.0,372212.0,10079.0,27080.0
4,417.22,,,0.9580972194671631,2.7941364118973877e+29,94976.0,370002.0,12900.0,7436.0
4,415.44,,,0.922235906124115,2.841491887419354e+30,75080.0,372494.0,9894.0,27846.0
4,416.06,,,0.9083521366119385,5.548588700397969e+30,66951.0,373885.0,8967.0,35511.0
4,417.61,,,0.916498064994812,3.795329221160563e+30,71887.0,372906.0,9738.0,30787.0
4,,8.416175842285156e-05,2270.166363954544,,,,,,
5,416.65,,,0.9551712870597839,6.840109843165944e+29,93599.0,369959.0,12332.0,9424.0
5,417.02,,,0.9370118975639343,1.666296760444975e+30,82501.0,372244.0,10658.0,19911.0
5,416.88,,,0.9538978934288025,1.0753290895620185e+30,91729.0,371211.0,11177.0,11197.0
5,414.18,,,0.956345796585083,7.402321551156365e+29,92859.0,371269.0,11583.0,9603.0
5,416.97,,,0.9176395535469055,3.331234386037248e+30,73188.0,372159.0,10485.0,29486.0
5,,8.58306884765625e-05,2271.416666984558,,,,,,
6,413.03,,,0.5766328573226929,2.331707665448161e+30,102947.0,176901.0,205390.0,76.0
6,415.77,,,0.9291242361068726,2.107159819208483e+30,78368.0,372549.0,10353.0,24044.0
6,414.73,,,0.9108577370643616,4.883783769461865e+30,68921.0,373131.0,9257.0,34005.0
6,415.69,,,0.9316813349723816,1.8436085503663056e+30,79698.0,372460.0,10392.0,22764.0
6,413.31,,,0.9255374670028687,2.662423377166396e+30,76782.0,372398.0,10246.0,25892.0
6,,8.487701416015625e-05,2264.1785821914673,,,,,,
7,413.02,,,0.9567908644676208,4.534891555814269e+29,94498.0,369846.0,12445.0,8525.0
7,413.55,,,0.9579447507858276,1.4046563877553578e+29,95806.0,369098.0,13804.0,6606.0
7,414.55,,,0.9576129913330078,1.1259980418608892e+29,96506.0,368237.0,14151.0,6420.0
7,414.4,,,0.9186691641807556,3.2128606010209523e+30,72675.0,373168.0,9684.0,29787.0
7,414.0,,,0.9127376079559326,4.7815672780247187e+30,69777.0,373191.0,9453.0,32897.0
7,,8.392333984375e-05,2263.2070319652557,,,,,,
8,413.81,,,0.9245931506156921,2.637273791109498e+30,76582.0,372136.0,10155.0,26441.0
8,416.41,,,0.9412298202514648,1.345238703752459e+30,84822.0,371970.0,10932.0,17590.0
8,414.95,,,0.9448872208595276,1.2105348243226725e+30,87192.0,371375.0,11013.0,15734.0
8,414.61,,,0.9561397433280945,7.808491158980027e+29,92680.0,371348.0,11504.0,9782.0
8,416.17,,,0.9250450134277344,2.753999508002204e+30,76501.0,372440.0,10204.0,26173.0
8,,8.797645568847656e-05,2269.4763221740723,,,,,,
9,414.78,,,0.9386953711509705,1.480184746135487e+30,84164.0,371398.0,10893.0,18859.0
9,415.82,,,0.9373271465301514,1.6180483798684277e+30,82697.0,372201.0,10701.0,19715.0
9,414.99,,,0.952123761177063,1.09600134328811e+30,90842.0,371237.0,11151.0,12084.0
9,415.61,,,0.9419736266136169,1.2801746183722546e+30,85169.0,371984.0,10868.0,17293.0
9,413.8,,,0.9196630120277405,3.1770794190749083e+30,73698.0,372631.0,10013.0,28976.0
9,,8.702278137207031e-05,2266.72936296463,,,,,,
10,384.44,,,0.9286894798278809,2.1075238569959144e+30,78861.0,371845.0,10446.0,24162.0
10,340.47,,,0.5760682821273804,5.9863906078704856e+29,102343.0,177231.0,205671.0,69.0
10,326.41,,,0.9443020224571228,1.228521751571945e+30,86875.0,371408.0,10980.0,16051.0
10,324.51,,,0.9136620759963989,4.2894534714116504e+30,69844.0,373569.0,9283.0,32618.0
10,321.97,,,0.9259166121482849,2.607555976611731e+30,76998.0,372366.0,10278.0,25676.0
10,,7.295608520507812e-05,1851.6508910655975,,,,,,
