FL Round,Convergence Time (s),Aggregation Time (s),FL Round Time (s),Accuracy,Loss,TP,TN,FP,FN
1,433.19,,,0.5767070651054382,4.0228983241391856e+30,102983.0,176901.0,205390.0,40.0
1,660.56,,,0.9580786824226379,1.6847117985501185e+28,95570.0,369399.0,13503.0,6842.0
1,854.62,,,0.924418032169342,2.4750166410830327e+29,76279.0,372354.0,10034.0,26647.0
1,592.11,,,0.9275561571121216,2.2133244356988995e+29,77398.0,372758.0,10094.0,25064.0
1,1143.15,,,0.9265595078468323,2.3916175711543023e+29,77345.0,372331.0,10313.0,25329.0
1,,0.0003941059112548828,3979.90181684494,,,,,,
2,950.18,,,0.9562262892723083,6.125977999817003e+28,93769.0,370301.0,11990.0,9254.0
2,856.44,,,0.9233094453811646,2.7211205036018724e+29,75150.0,372945.0,9957.0,27262.0
2,634.02,,,0.9302183985710144,1.788718709126114e+29,79551.0,371897.0,10491.0,23375.0
2,846.37,,,0.9569536447525024,6.149140735178831e+28,93364.0,371059.0,11793.0,9098.0
2,850.28,,,0.9523487687110901,1.0907536985366178e+29,90870.0,371322.0,11322.0,11804.0
2,,3.814697265625e-05,4478.519999027252,,,,,,
3,625.26,,,0.9544357061386108,9.65338411747181e+28,92313.0,370888.0,11403.0,10710.0
3,680.2,,,0.9545922875404358,9.39755746904872e+28,91728.0,371549.0,11353.0,10684.0
3,701.61,,,0.9569041728973389,5.041118192440325e+28,94104.0,370295.0,12093.0,8822.0
3,728.9,,,0.9573842883110046,6.286786738652408e+27,96411.0,368221.0,14631.0,6051.0
3,502.18,,,0.9116043448448181,5.022469094962825e+29,69104.0,373314.0,9330.0,33570.0
3,,3.886222839355469e-05,3505.3134047985077,,,,,,
4,491.08,,,0.9169279932975769,3.370906420175858e+29,72498.0,372500.0,9791.0,30525.0
4,489.79,,,0.9570916891098022,4.838735982213816e+28,93775.0,370715.0,12187.0,8637.0
4,511.49,,,0.9362989664077759,1.642574311318132e+29,82616.0,371783.0,10605.0,20310.0
4,484.0,,,0.914267897605896,3.966499970149706e+29,70194.0,373513.0,9339.0,32268.0
4,475.53,,,0.9011245965957642,7.553772755523137e+29,63484.0,373848.0,8796.0,39190.0
4,,3.6716461181640625e-05,2661.486520051956,,,,,,
5,443.98,,,0.5767853260040283,3.007225039187598e+30,103021.0,176901.0,205390.0,2.0
5,435.7,,,0.9189514517784119,3.0890072086115257e+29,72877.0,373103.0,9799.0,29535.0
5,431.11,,,0.9539638161659241,1.022890553205221e+29,91775.0,371197.0,11191.0,11151.0
5,443.11,,,0.9206328392028809,2.7536751758721606e+29,74189.0,372607.0,10245.0,28273.0
5,458.58,,,0.9301674365997314,1.9312333071607033e+29,79376.0,372051.0,10593.0,23298.0
5,,3.719329833984375e-05,2404.0863950252533,,,,,,
6,474.2,,,0.931817352771759,1.800038410480212e+29,80538.0,371686.0,10605.0,22485.0
6,482.85,,,0.9453343749046326,1.1833062258664241e+29,86940.0,371844.0,11058.0,15472.0
6,475.65,,,0.9232702851295471,2.6472094235158644e+29,75628.0,372448.0,9940.0,27298.0
6,480.87,,,0.9379680156707764,1.4981611330627699e+29,82957.0,372252.0,10600.0,19505.0
6,502.36,,,0.9333220720291138,1.770749349080158e+29,81024.0,371934.0,10710.0,21650.0
6,,3.6716461181640625e-05,2621.2561848163605,,,,,,
7,503.53,,,0.9267154932022095,2.2618074612212476e+29,77757.0,371991.0,10300.0,25266.0
7,501.79,,,0.9190338850021362,3.0196539677601242e+29,72930.0,373090.0,9812.0,29482.0
7,479.37,,,0.9249434471130371,2.381108416783324e+29,76577.0,372311.0,10077.0,26349.0
7,481.8,,,0.926054060459137,2.4131419286885628e+29,76550.0,372877.0,9975.0,25912.0
7,477.01,,,0.9284633994102478,2.2149950200658795e+29,78389.0,372211.0,10433.0,24285.0
7,,3.719329833984375e-05,2653.8855350017548,,,,,,
8,476.91,,,0.9562077522277832,5.876197397201931e+28,93818.0,370243.0,12048.0,9205.0
8,473.08,,,0.9237895607948303,2.6816836433141094e+29,75406.0,372922.0,9980.0,27006.0
8,498.75,,,0.8900196552276611,1.0697419633288057e+30,57737.0,374202.0,8186.0,45189.0
8,480.06,,,0.9170289635658264,3.358910853730732e+29,71745.0,373302.0,9550.0,30717.0
8,480.83,,,0.9266954660415649,2.3749602734119465e+29,77424.0,372318.0,10326.0,25250.0
8,,4.57763671875e-05,2616.4356937408447,,,,,,
9,485.71,,,0.9136806130409241,4.057492416488232e+29,70666.0,372756.0,9535.0,32357.0
9,485.31,,,0.9273521900177002,2.2393771649009134e+29,77399.0,372658.0,10244.0,25013.0
9,486.17,,,0.9559996128082275,6.866281670450656e+28,93291.0,370669.0,11719.0,9635.0
9,502.8,,,0.9391940236091614,1.4328513712886606e+29,83614.0,372190.0,10662.0,18848.0
9,498.0,,,0.936072826385498,1.6921510369179127e+29,82842.0,371451.0,11193.0,19832.0
9,,3.314018249511719e-05,2661.3005843162537,,,,,,
10,395.33,,,0.9407764673233032,1.2966062814440588e+29,85288.0,371284.0,11007.0,17735.0
10,400.39,,,0.9305933713912964,1.8141548861601245e+29,79229.0,372401.0,10501.0,23183.0
10,401.76,,,0.9248486757278442,2.4299971880338804e+29,76520.0,372322.0,10066.0,26406.0
10,402.55,,,0.9292787909507751,2.0338201076879703e+29,78335.0,372657.0,10195.0,24127.0
10,400.57,,,0.957258939743042,4.387821763070304e+28,94400.0,370175.0,12469.0,8274.0
10,,2.9802322387695312e-05,2178.819394826889,,,,,,
