FL Round,Convergence Time (s),Aggregation Time (s),FL Round Time (s),Accuracy,Loss,TP,TN,FP,FN
1,1.13,,,0.7877188920974731,1.3770996792758796e+28,0.0,382291.0,0.0,103023.0
1,1.2,,,0.788977861404419,1.3730526112000603e+28,0.0,382902.0,0.0,102412.0
1,1.15,,,0.787918746471405,1.3382478257480144e+28,0.0,382388.0,0.0,102926.0
1,1.19,,,0.7888748049736023,1.345545534792317e+28,0.0,382852.0,0.0,102462.0
1,1.16,,,0.7884397506713867,1.3871334094011948e+28,0.0,382644.0,0.0,102674.0
1,,0.0025169849395751953,248.22744607925415,,,,,,
2,1.06,,,0.7877188920974731,1.3770996792758796e+28,0.0,382291.0,0.0,103023.0
2,1.09,,,0.788977861404419,1.3730526112000603e+28,0.0,382902.0,0.0,102412.0
2,1.04,,,0.787918746471405,1.3382478257480144e+28,0.0,382388.0,0.0,102926.0
2,1.13,,,0.7888748049736023,1.345545534792317e+28,0.0,382852.0,0.0,102462.0
2,1.34,,,0.7884397506713867,1.3871334094011948e+28,0.0,382644.0,0.0,102674.0
2,,0.0004119873046875,278.58367395401,,,,,,
3,1.86,,,0.7877188920974731,1.3770996792758796e+28,0.0,382291.0,0.0,103023.0
3,1.42,,,0.788977861404419,1.3730526112000603e+28,0.0,382902.0,0.0,102412.0
3,1.37,,,0.787918746471405,1.3382478257480144e+28,0.0,382388.0,0.0,102926.0
3,1.25,,,0.7888748049736023,1.345545534792317e+28,0.0,382852.0,0.0,102462.0
3,1.54,,,0.7884397506713867,1.3871334094011948e+28,0.0,382644.0,0.0,102674.0
3,,0.00012874603271484375,342.57272601127625,,,,,,
4,1.27,,,0.7877188920974731,1.3770996792758796e+28,0.0,382291.0,0.0,103023.0
4,1.48,,,0.788977861404419,1.3730526112000603e+28,0.0,382902.0,0.0,102412.0
4,1.14,,,0.787918746471405,1.3382478257480144e+28,0.0,382388.0,0.0,102926.0
4,1.32,,,0.7888748049736023,1.345545534792317e+28,0.0,382852.0,0.0,102462.0
4,1.21,,,0.7884397506713867,1.3871334094011948e+28,0.0,382644.0,0.0,102674.0
4,,0.00011277198791503906,316.5951519012451,,,,,,
5,1.16,,,0.7877188920974731,1.3770996792758796e+28,0.0,382291.0,0.0,103023.0
5,1.22,,,0.788977861404419,1.3730526112000603e+28,0.0,382902.0,0.0,102412.0
5,1.13,,,0.787918746471405,1.3382478257480144e+28,0.0,382388.0,0.0,102926.0
5,1.18,,,0.7888748049736023,1.345545534792317e+28,0.0,382852.0,0.0,102462.0
5,1.0,,,0.7884397506713867,1.3871334094011948e+28,0.0,382644.0,0.0,102674.0
5,,8.821487426757812e-05,261.488755941391,,,,,,
6,0.95,,,0.7877188920974731,1.3770996792758796e+28,0.0,382291.0,0.0,103023.0
6,0.92,,,0.788977861404419,1.3730526112000603e+28,0.0,382902.0,0.0,102412.0
6,0.92,,,0.787918746471405,1.3382478257480144e+28,0.0,382388.0,0.0,102926.0
6,0.91,,,0.7888748049736023,1.345545534792317e+28,0.0,382852.0,0.0,102462.0
6,0.89,,,0.7884397506713867,1.3871334094011948e+28,0.0,382644.0,0.0,102674.0
6,,8.606910705566406e-05,196.70190000534058,,,,,,
7,0.91,,,0.7877188920974731,1.3770996792758796e+28,0.0,382291.0,0.0,103023.0
7,0.95,,,0.788977861404419,1.3730526112000603e+28,0.0,382902.0,0.0,102412.0
7,0.91,,,0.787918746471405,1.3382478257480144e+28,0.0,382388.0,0.0,102926.0
7,0.98,,,0.7888748049736023,1.345545534792317e+28,0.0,382852.0,0.0,102462.0
7,1.0,,,0.7884397506713867,1.3871334094011948e+28,0.0,382644.0,0.0,102674.0
7,,9.107589721679688e-05,207.10178923606873,,,,,,
8,0.95,,,0.7877188920974731,1.3770996792758796e+28,0.0,382291.0,0.0,103023.0
8,0.91,,,0.788977861404419,1.3730526112000603e+28,0.0,382902.0,0.0,102412.0
8,0.95,,,0.787918746471405,1.3382478257480144e+28,0.0,382388.0,0.0,102926.0
8,1.35,,,0.7888748049736023,1.345545534792317e+28,0.0,382852.0,0.0,102462.0
8,1.64,,,0.7884397506713867,1.3871334094011948e+28,0.0,382644.0,0.0,102674.0
8,,0.00021600723266601562,271.807088136673,,,,,,
9,1.14,,,0.7877188920974731,1.3770996792758796e+28,0.0,382291.0,0.0,103023.0
9,1.28,,,0.788977861404419,1.3730526112000603e+28,0.0,382902.0,0.0,102412.0
9,1.77,,,0.787918746471405,1.3382478257480144e+28,0.0,382388.0,0.0,102926.0
9,1.42,,,0.7888748049736023,1.345545534792317e+28,0.0,382852.0,0.0,102462.0
9,1.94,,,0.7884397506713867,1.3871334094011948e+28,0.0,382644.0,0.0,102674.0
9,,0.00012683868408203125,362.2092008590698,,,,,,
10,1.59,,,0.7877188920974731,1.3770996792758796e+28,0.0,382291.0,0.0,103023.0
10,1.95,,,0.788977861404419,1.3730526112000603e+28,0.0,382902.0,0.0,102412.0
10,1.9,,,0.787918746471405,1.3382478257480144e+28,0.0,382388.0,0.0,102926.0
10,1.9,,,0.7888748049736023,1.345545534792317e+28,0.0,382852.0,0.0,102462.0
10,1.95,,,0.7884397506713867,1.3871334094011948e+28,0.0,382644.0,0.0,102674.0
10,,0.00011110305786132812,466.31506609916687,,,,,,
