FL Round,Convergence Time (s),Aggregation Time (s),FL Round Time (s),Accuracy,Loss,TP,TN,FP,FN
1,281.17,,,0.9181169271469116,3.1006531310422602e+29,73168.0,372407.0,9884.0,29855.0
1,312.91,,,0.5761919021606445,4.3753734161268004e+29,102403.0,177231.0,205671.0,9.0
1,402.28,,,0.9582023024559021,2.2436999719556674e+28,95807.0,369222.0,13166.0,7119.0
1,439.88,,,0.9169671535491943,3.449991702769817e+29,71691.0,373326.0,9526.0,30771.0
1,443.37,,,0.9251438975334167,2.616055782933714e+29,76558.0,372431.0,10213.0,26116.0
1,,0.0019180774688720703,2056.5109820365906,,,,,,
2,428.31,,,0.9400182366371155,1.359717876067722e+29,84856.0,371348.0,10943.0,18167.0
2,419.68,,,0.9242098927497864,2.5175910416620143e+29,76062.0,372470.0,10432.0,26350.0
2,417.08,,,0.9572462439537048,4.491665657555311e+28,94419.0,370146.0,12242.0,8507.0
2,414.86,,,0.9206472635269165,2.7979067492973108e+29,73766.0,373037.0,9815.0,28696.0
2,411.0,,,0.8930907249450684,1.079964640059467e+30,59072.0,374361.0,8283.0,43602.0
2,,9.202957153320312e-05,2283.8680036067963,,,,,,
3,412.32,,,0.9032193422317505,6.956677493007736e+29,64850.0,373495.0,8796.0,38173.0
3,414.9,,,0.5754604339599609,5.95715424808038e+30,102412.0,176867.0,206035.0,0.0
3,411.93,,,0.9573224782943726,8.937637578963213e+27,96619.0,367983.0,14405.0,6307.0
3,412.24,,,0.9151889085769653,3.6220260025834834e+29,71188.0,372966.0,9886.0,31274.0
3,411.6,,,0.9378345608711243,1.5445166380372556e+29,83388.0,371760.0,10884.0,19286.0
3,,8.392333984375e-05,2252.417413711548,,,,,,
4,415.03,,,0.957781970500946,2.2994342856597916e+28,95780.0,369045.0,13246.0,7243.0
4,413.08,,,0.9064708352088928,5.922508700826137e+29,65951.0,373972.0,8930.0,36461.0
4,410.98,,,0.9576645493507385,1.1526147869037846e+28,96432.0,368336.0,14052.0,6494.0
4,411.36,,,0.9283844828605652,2.1385880748463452e+29,77847.0,372711.0,10141.0,24615.0
4,411.52,,,0.9116579294204712,4.9837664682158184e+29,69140.0,373304.0,9340.0,33534.0
4,,8.440017700195312e-05,2250.694125175476,,,,,,
5,409.74,,,0.9578129053115845,2.4640663704588897e+28,95712.0,369128.0,13163.0,7311.0
5,412.9,,,0.9392125606536865,1.3756029724427988e+29,83756.0,372057.0,10845.0,18656.0
5,411.04,,,0.9551424384117126,8.528333193432725e+28,92577.0,370967.0,11421.0,10349.0
5,411.88,,,0.9270657896995544,2.230242030281791e+29,77128.0,372790.0,10062.0,25334.0
5,412.34,,,0.9131518006324768,4.452813804027446e+29,70008.0,373161.0,9483.0,32666.0
5,,8.797645568847656e-05,2246.686464071274,,,,,,
6,410.33,,,0.9327610731124878,1.7273715795151104e+29,81035.0,371647.0,10644.0,21988.0
6,410.78,,,0.9072312116622925,5.419394953738259e+29,66793.0,373499.0,9403.0,35619.0
6,411.23,,,0.938437819480896,1.4105352617898822e+29,83828.0,371609.0,10779.0,19098.0
6,410.49,,,0.939558744430542,1.3881244216194574e+29,83837.0,372144.0,10708.0,18625.0
6,411.57,,,0.9577328562736511,3.149306303428986e+28,95057.0,369748.0,12896.0,7617.0
6,,8.606910705566406e-05,2244.8613090515137,,,,,,
7,410.61,,,0.9131448864936829,4.1877658850205855e+29,70368.0,372794.0,9497.0,32655.0
7,412.09,,,0.5761197805404663,6.217770245032533e+30,102368.0,177231.0,205671.0,44.0
7,412.05,,,0.9386850595474243,1.3902887766258862e+29,83958.0,371599.0,10789.0,18968.0
7,410.34,,,0.9303028583526611,1.83638910982409e+29,78963.0,372526.0,10326.0,23499.0
7,411.6,,,0.9264811873435974,2.409805104531767e+29,77307.0,372331.0,10313.0,25367.0
7,,8.606910705566406e-05,2248.4684228897095,,,,,,
8,411.47,,,0.9268700480461121,2.2367111056793445e+29,77845.0,371978.0,10313.0,25178.0
8,412.94,,,0.9279208779335022,2.170336166921359e+29,77712.0,372621.0,10281.0,24700.0
8,411.12,,,0.9296084642410278,1.8172829817183774e+29,79238.0,371914.0,10474.0,23688.0
8,410.87,,,0.9557482600212097,7.933117621672166e+28,92422.0,371416.0,11436.0,10040.0
8,412.36,,,0.9198071956634521,3.037544369838487e+29,73776.0,372623.0,10021.0,28898.0
8,,8.535385131835938e-05,2250.656517267227,,,,,,
9,410.7,,,0.9247435927391052,2.5072688930037578e+29,76670.0,372121.0,10170.0,26353.0
9,410.82,,,0.929276704788208,2.0017463612202976e+29,78457.0,372534.0,10368.0,23955.0
9,410.15,,,0.9054921269416809,5.7587982330698355e+29,66039.0,373409.0,8979.0,36887.0
9,411.71,,,0.9568650126457214,6.336664963740288e+28,93251.0,371129.0,11723.0,9211.0
9,411.23,,,0.9211589097976685,2.8633164363461976e+29,74494.0,372561.0,10083.0,28180.0
9,,8.392333984375e-05,2243.3627038002014,,,,,,
10,408.76,,,0.956809401512146,4.133667776855446e+28,94573.0,369780.0,12511.0,8450.0
10,343.64,,,0.918005645275116,3.253844621905299e+29,72325.0,373196.0,9706.0,30087.0
10,327.19,,,0.9124875664710999,4.233458369740876e+29,69835.0,373008.0,9380.0,33091.0
10,320.86,,,0.9143317341804504,3.944021127901928e+29,70242.0,373496.0,9356.0,32220.0
10,333.94,,,0.915280282497406,3.943538690942038e+29,71201.0,373001.0,9643.0,31473.0
10,,7.486343383789062e-05,1894.5311799049377,,,,,,
