FL Round,Convergence Time (s),Aggregation Time (s),FL Round Time (s),Accuracy,Loss,TP,TN,FP,FN
1,396.08,,,0.9232394099235535,2.7228150775905854e+29,75829.0,372232.0,10059.0,27194.0
1,642.7,,,0.9238843321800232,2.695277447471698e+29,75449.0,372925.0,9977.0,26963.0
1,889.89,,,0.9275211691856384,1.962303645198096e+29,78677.0,371462.0,10926.0,24249.0
1,558.14,,,0.9582167267799377,1.7190890917763026e+28,95563.0,369473.0,13379.0,6899.0
1,1112.5,,,0.9377768635749817,1.5577742097012638e+29,83357.0,371763.0,10881.0,19317.0
1,,0.004796266555786133,3908.635540008545,,,,,,
2,939.01,,,0.5767729878425598,3.729605666745759e+30,103015.0,176901.0,205390.0,8.0
2,872.04,,,0.5761197805404663,2.943527039983558e+30,102368.0,177231.0,205671.0,44.0
2,623.16,,,0.9010805487632751,6.869130107465794e+29,63652.0,373655.0,8733.0,39274.0
2,817.19,,,0.9301503896713257,1.8452127571500023e+29,78885.0,372530.0,10322.0,23577.0
2,905.01,,,0.9198978543281555,3.00424507482118e+29,73833.0,372610.0,10034.0,28841.0
2,,0.00017189979553222656,4524.595747947693,,,,,,
3,614.88,,,0.9354747533798218,1.6567359328216208e+29,82835.0,371164.0,11127.0,20188.0
3,677.03,,,0.9531148672103882,1.0336821050918746e+29,91245.0,371315.0,11587.0,11167.0
3,695.61,,,0.9304677248001099,1.7460940625677547e+29,80245.0,371324.0,11064.0,22681.0
3,733.39,,,0.9205194711685181,2.7472735358679825e+29,73703.0,373038.0,9814.0,28759.0
3,521.4,,,0.9548996686935425,9.430846374859764e+28,92302.0,371128.0,11516.0,10372.0
3,,8.869171142578125e-05,3511.730942964554,,,,,,
4,494.52,,,0.9546437859535217,9.172913550985314e+28,92484.0,370818.0,11473.0,10539.0
4,488.84,,,0.9144924879074097,4.0152026801608375e+29,70340.0,373476.0,9426.0,32072.0
4,509.69,,,0.9370407462120056,1.5155379305624557e+29,83066.0,371693.0,10695.0,19860.0
4,486.94,,,0.9375950694084167,1.548188183530357e+29,82748.0,372280.0,10572.0,19714.0
4,476.75,,,0.9206787943840027,2.9004778715678547e+29,74252.0,372570.0,10074.0,28422.0
4,,8.559226989746094e-05,2671.4896669387817,,,,,,
5,445.88,,,0.9315453767776489,1.8135372006241652e+29,80401.0,371691.0,10600.0,22622.0
5,438.04,,,0.9416645765304565,1.2335931009378988e+29,85072.0,371931.0,10971.0,17340.0
5,431.15,,,0.9137609601020813,3.974386699965417e+29,70530.0,372931.0,9457.0,32396.0
5,439.76,,,0.9566301107406616,6.659953450791061e+28,93074.0,371192.0,11660.0,9388.0
5,459.83,,,0.9111489653587341,5.1180467702615575e+29,68852.0,373345.0,9299.0,33822.0
5,,9.179115295410156e-05,2409.353835105896,,,,,,
6,473.73,,,0.9060917496681213,5.5420336779304276e+29,66988.0,372751.0,9540.0,36035.0
6,483.03,,,0.956922709941864,5.329589143649549e+28,93574.0,370834.0,12068.0,8838.0
6,473.25,,,0.9385057687759399,1.4162666090954818e+29,83849.0,371621.0,10767.0,19077.0
6,480.78,,,0.9140329957008362,4.0232167249769266e+29,70068.0,373525.0,9327.0,32394.0
6,502.31,,,0.9505561590194702,1.984351677757558e+26,99532.0,361790.0,20854.0,3142.0
6,,8.606910705566406e-05,2625.792198896408,,,,,,
7,501.81,,,0.9277231097221375,2.140528589681486e+29,78313.0,371924.0,10367.0,24710.0
7,499.69,,,0.9244077205657959,2.587620714288422e+29,75764.0,372864.0,10038.0,26648.0
7,481.21,,,0.9293591380119324,1.859971285776926e+29,79090.0,371941.0,10447.0,23836.0
7,482.63,,,0.9050490856170654,6.373916312819779e+29,65124.0,374109.0,8743.0,37338.0
7,475.53,,,0.9571930170059204,4.630480564792561e+28,94297.0,370246.0,12398.0,8377.0
7,,9.393692016601562e-05,2656.7887959480286,,,,,,
8,474.32,,,0.9372838735580444,1.5248855716733072e+29,83386.0,371491.0,10800.0,19637.0
8,474.07,,,0.9201733469963074,2.8576554523011928e+29,73564.0,373009.0,9893.0,28848.0
8,497.55,,,0.9228746891021729,2.7015891736180422e+29,75407.0,372477.0,9911.0,27519.0
8,480.09,,,0.9267319440841675,2.2943509887066362e+29,76948.0,372808.0,10044.0,25514.0
8,481.02,,,0.5758492350578308,2.756242065397589e+31,102674.0,176796.0,205848.0,0.0
8,,9.179115295410156e-05,2620.916314125061,,,,,,
9,487.59,,,0.9283742308616638,2.080784609044087e+29,78675.0,371878.0,10413.0,24348.0
9,483.28,,,0.9389446973800659,1.4303539949978599e+29,83581.0,372102.0,10800.0,18831.0
9,485.28,,,0.5778093934059143,1.52182755603366e+30,102888.0,177531.0,204857.0,38.0
9,502.88,,,0.9298948645591736,1.9305540419658073e+29,78723.0,372568.0,10284.0,23739.0
9,498.34,,,0.9575103521347046,2.288539077828839e+28,95781.0,368916.0,13728.0,6893.0
9,,8.296966552734375e-05,2667.022631883621,,,,,,
10,393.82,,,0.9318358898162842,1.7864187277542973e+29,80549.0,371684.0,10607.0,22474.0
10,399.92,,,0.9336326718330383,1.653865867367992e+29,80810.0,372295.0,10607.0,21602.0
10,402.0,,,0.9142431616783142,3.87165936181162e+29,70798.0,372897.0,9491.0,32128.0
10,401.78,,,0.927735447883606,2.194927607038914e+29,77503.0,372740.0,10112.0,24959.0
10,400.02,,,0.9170997142791748,3.361538000652482e+29,72858.0,372227.0,10417.0,29816.0
10,,8.082389831542969e-05,2181.9311401844025,,,,,,
